"MaterialType" "Materials_Details_EN" "Notes"
"39362" "？"  "Needs translation"
"28936" "(土壌混じり)炭化物" "carbonized soil material" ""
"28101" "(粉状)炭化物" "carbonized material" ""
"38356" "470杭列" "wooden stake, wood indet." ""
"29893" "AM2250(編物)" "Knitted artefact" ""
"26081" "humic clay" "Humic Clay" ""
"26082" "humic sand" "Humic Sand" ""
"26083" "humic slit" "Humic Silt" ""
"5485" "organic sediment" "organic sediment" ""
"21442" "peat" "peat" ""
"26086" "plant fragment"  "Needs translation"
"5484" "plant material"  "Needs translation"
"38390" "shell" "shell, indet. mollusc" ""
"38391" "wood" "wood, wood indet." ""
"37229" "アカガシ亜属" ", ring-cupped oaks (Quercus subgenus Cyclobalanopsis)" ""
"29908" "アカガシ亜属(堅果類）" "Akagashi (subgen. Cyclobalanopsis)" ""
"25906" "アカガシ亜属果実" "Akagashi (subgen. Cyclobalanopsis)" ""
"37170" "アカマツ材" "material, pine (Pinus sp.)" ""
"29829" "アゲマキ" "Agemakigai (Sinonovacula constricta)" ""
"7655" "アサリ" "Asari (Ruditapes philippinarum)" ""
"13739" "アサリ、カキ" "Asari (Ruditapes philippinarum), Kaki (Ostreoidea)" ""
"13740" "アサリ、クボガイ" "Asari (Ruditapes philippinarum), Kubogai (Chlorostoma argyrostoma lischkei)" ""
"6152" "アサリ貝殻" "Asari (Ruditapes philippinarum)" ""
"27084" "アシカ骨 雄右尺骨" "Ashika (Otariinae)" ""
"27086" "アシカ骨 雌左脛骨" "Ashika (Otariinae)" ""
"30342" "アズキ" "adzuki bean (Vigna angularis)" ""
"42804" "アズキ炭化種子"  "Needs translation"
"10113" "アスナロ" "Asunaro (Thujopsis dolabrata)" ""
"9907" "アスファルト?" "bitumen?" ""
"5711" "アワビ" "Awabi (Haliotis)" ""
"8909" "アワ炭化胚乳" "carbonized foxtail millet (Setaria italica)" ""
"8317" "イガイ" "Igai (Mytilus coruscus)" ""
"35841" "イシガイ類？の殻皮" "ishigai mussel (Unio douglasiae)" ""
"43339" "イシガニ(イシガニ科)"  "Needs translation"
"29794" "イチイガシ" "red bark oak (Quercus gilva)" ""
"29922" "イチイガシ?(堅果)" "nut red bark oak (Quercus gilva)" ""
"29892" "イチイガシ(堅果)" "nut red bark oak (Quercus gilva)" ""
"6380" "イチイガシ子葉" "cotyledon red bark oak (Quercus gilva)" ""
"29527" "イチイガシ果実" "fruit /achenes etc red bark oak (Quercus gilva)" ""
"22012" "イヌ 大腿骨 左" "dog (Canis lupus familiaris ) left femur" ""
"22008" "イヌ 環椎" "dog (Canis lupus familiaris ) vertebra vertebra" ""
"22011" "イヌ 腰椎" "dog (Canis lupus familiaris ) lumbar vertebra vertebra" ""
"5531" "イヌエンジュ" "Amur maackia (Maackia amurensis)" ""
"5523" "イヌガヤ" "plum yew (Cephalotaxus harringtonia)" ""
"8292" "イヌガヤ?種子" "seed plum yew (Cephalotaxus harringtonia)" ""
"38247" "イヌガヤ（樹皮）" "bark, plum yew (Cephalotaxus harringtonia)" ""
"38248" "イヌガヤ（樹芯）" "heartwood, plum yew (Cephalotaxus harringtonia)" ""
"6474" "イヌガヤ種子" "seed plum yew (Cephalotaxus harringtonia)" ""
"20839" "イヌ上腕骨" "dog (Canis lupus familiaris ) humerus" ""
"20848" "イヌ下顎骨" "dog (Canis lupus familiaris ) manidble" ""
"14063" "イネ" "rice (Oryza sativa)" ""
"23716" "イネの果実類" "fruit /achenes etc rice (Oryza sativa)" ""
"9335" "イネモミ" "rice (Oryza sativa) fir (Abies sp.)" ""
"37646" "イネ未炭化籾殻" "carbonized shell, rice (Oryza sativa) rice unhusked (Oryza sp.)" ""
"5810" "イネ炭化種子" "carbonized seed rice (Oryza sativa)" ""
"11573" "イネ炭化胚乳" "carbonized rice (Oryza sativa)" ""
"11095" "イネ科B炭化種子" "carbonized seed Poaceae" ""
"19061" "イネ科稈" "culm Poaceae" ""
"18492" "イネ胚乳" "rice (Oryza sativa)" ""
"22010" "イノシシ 下顎骨" "wild boar (Sus scrofa) manidble" ""
"22005" "イノシシ 下顎骨 右" "wild boar (Sus scrofa) right manidble" ""
"6531" "イノシシ 右下顎骨･第三後臼歯" "wild boar (Sus scrofa) right manidble 3rd molar tooth" ""
"11271" "イノシシ 右橈骨" "wild boar (Sus scrofa) right radius" ""
