Prefecture,SiteName,SiteAddress,SamplingLocation,MaterialType,Period,Phase,PeriodCode,LabCode,Method,CRA,CRAError,UnroundedCRA,UnroundedCRAError,Delta13C,Delta13CError,Delta13CIRMS,AnalysedBy,Laboratory,PubblicationYear,ReportTitle,Page,Remarks,Reference,Publisher,Latitude,Longitude,labcode_issues,c14_issues,ReferenceCombined,ReferenceFinal,coordinate_issues,PrefectureNameEn,Region,Furigana,SiteType,Romanised,Material,Material_Details
愛知,鹿乗川遺跡群,安城市安城町・古井町他,E区NR02,"土器付着物,焦,口縁内面",弥生時代後期,欠山式（中）,C,PLD-8785,AMS法,1885,20,NA,NA,-22.34,0.2,-22.5,学術創成研究グループ,パレオ・ラボ,2009,地域別測定データ,139-524,ACAN-1 a,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,34.9425611111111,137.08975,";Same labcode, different SiteName",NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Aichi,Chubu,かのりがわいきいせきぐん,Site Cluster,Kanorigawaikiisekigun,Other,Organic Residue from Pottery
愛知,鹿乗川遺跡群,安城市安城町・古井町他,NR06,"土器付着物,煤,口縁内面",弥生時代後期,欠山式,C,PLD-8766,AMS法,2040,160,NA,NA,-27.39,1.08,NA,学術創成研究グループ,パレオ・ラボ,2009,地域別測定データ,139-524,ACAN-2,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,34.9425611111111,137.08975,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Aichi,Chubu,かのりがわいきいせきぐん,Site Cluster,Kanorigawaikiisekigun,Other,Organic Residue from Pottery
愛知,鹿乗川遺跡群,安城市安城町・古井町他,KN3D2-5 SK6 NO.6,"土器付着物,焦,",古墳時代,松川堂Ⅱ式,D,PLD-8787,AMS法,1760,20,NA,NA,-26.22,0.24,-25.9,学術創成研究グループ,パレオ・ラボ,2009,地域別測定データ,139-524,ACAN-5 a,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,34.9425611111111,137.08975,";Same labcode, different SiteName",NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Aichi,Chubu,かのりがわいきいせきぐん,Site Cluster,Kanorigawaikiisekigun,Other,Organic Residue from Pottery
愛知,鹿乗川遺跡群,安城市安城町・古井町他,KN3D2-5 SK6 NO.6,"土器付着物,焦,",古墳時代,松川堂Ⅱ式,D,PLD-8788,AMS法,1715,20,NA,NA,-26.22,0.21,-26,学術創成研究グループ,パレオ・ラボ,2009,地域別測定データ,139-524,ACAN-5 b,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,34.9425611111111,137.08975,";Same labcode, different SiteName",NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Aichi,Chubu,かのりがわいきいせきぐん,Site Cluster,Kanorigawaikiisekigun,Other,Organic Residue from Pottery
愛知,鹿乗川遺跡群,安城市安城町・古井町他,KN3D2-5 SK6 NO.1,"土器付着物,煤,口縁外面",古墳時代,松川堂Ⅱ式,D,PLD-8789,AMS法,1700,20,NA,NA,-12.9,0.22,NA,学術創成研究グループ,パレオ・ラボ,2009,地域別測定データ,139-524,ACAN-6,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,34.9425611111111,137.08975,";Same labcode, different SiteName",NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Aichi,Chubu,かのりがわいきいせきぐん,Site Cluster,Kanorigawaikiisekigun,Other,Organic Residue from Pottery
愛知,鹿乗川遺跡群,安城市安城町・古井町他,KN3D2-5 SK6 NO.4,"土器付着物,焦,胴部内面",古墳時代,松川堂Ⅱ式,D,PLD-8790,AMS法,1700,20,NA,NA,-27.15,0.25,-25.8,学術創成研究グループ,パレオ・ラボ,2009,地域別測定データ,139-524,ACAN-7 a1,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,34.9425611111111,137.08975,";Same labcode, different SiteName",NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Aichi,Chubu,かのりがわいきいせきぐん,Site Cluster,Kanorigawaikiisekigun,Other,Organic Residue from Pottery
愛知,鹿乗川遺跡群,安城市安城町・古井町他,KN3D2-5 SK6 NO.4,"土器付着物,焦,胴部内面",古墳時代,松川堂Ⅱ式,D,PLD-8791,AMS法,1720,20,NA,NA,-25.55,0.23,-25.7,学術創成研究グループ,パレオ・ラボ,2009,地域別測定データ,139-524,ACAN-7 a2,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,34.9425611111111,137.08975,";Same labcode, different SiteName",NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Aichi,Chubu,かのりがわいきいせきぐん,Site Cluster,Kanorigawaikiisekigun,Other,Organic Residue from Pottery
愛知,鹿乗川遺跡群,安城市安城町・古井町他,KN3D2-5 SK6 NO.5,"土器付着物,焦,底部内面",古墳時代,松川堂Ⅱ式,D,PLD-8792,AMS法,1750,20,NA,NA,-24.8,0.21,-25.3,学術創成研究グループ,パレオ・ラボ,2009,地域別測定データ,139-524,ACAN-8,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,34.9425611111111,137.08975,";Same labcode, different SiteName",NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)",NA,Aichi,Chubu,かのりがわいきいせきぐん,Site Cluster,Kanorigawaikiisekigun,Other,Organic Residue from Pottery
愛知,朝日遺跡,名古屋市西区中沼町・浮野町他,調査区05Ab、遺構067SD溝、dot207,"土器付着物,煤,胴部上位・外面",弥生時代,山中,C,PLD-8685,AMS法,2030,20,NA,NA,-20.58,0.18,-21.2,学術創成研究グループ,パレオ・ラボ,2009,地域別測定データ,139-524,ACFJ-1,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,35.2236111111111,136.8584,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)",NA; Same site name with different coordinates (dist=2.66 km),Aichi,Chubu,あさひいせき,Site,Asahiiseki,Other,Organic Residue from Pottery
愛知,朝日遺跡,名古屋市西区中沼町・浮野町他,調査区05Ab、遺構211SK土坑1、,"土器付着物,煤,胴部中位・外面",弥生時代,山中,C,PLD-8686,AMS法,2055,20,NA,NA,-24.75,0.18,-23.8,学術創成研究グループ,パレオ・ラボ,2009,地域別測定データ,139-524,ACFJ-2,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,国立歴史民俗博物館,35.2236111111111,136.8584,NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)","国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)",NA; Same site name with different coordinates (dist=2.66 km),Aichi,Chubu,あさひいせき,Site,Asahiiseki,Other,Organic Residue from Pottery
