MaterialType,Taxa
？,
470杭列,
土器内付着炭化物,
トネリコ類,
タケ類,
樹皮,
樹皮片,
樹皮（一部未炭化）,
樹皮（ほとんど未炭化）,
樹皮（内側）,
樹皮(葺材),
樹皮（半割）,
カゴ状炭化物,
アスファルト?,
黒ボク様土壌,
黒ボク土,
黒色土,
黒灰色腐植質シルト,
黒色帯土壌,
黒色粘土,
黒色粘土(7a層),
黒色粘土質シルト,
黒漆膜,
黒泥,
黒泥状粘土,
黒泥混じり植物遺体,
黒色有機質粘土,
黒色物質,
黒色泥炭,
黒色砂混じりシルト,
黒色シルト,
黒シルト質粘土,
黒色シルト質粘土,
黒色シルト質粘土（有機物多い）,
黒色土壌,
黒色土(粘土質シルト),
黒色土(泥質),
黒色土（有機物含む）,
ボーリングコア,
ボーリングコアから採取した試料,
枝,
枝材,
枝材片,
枝材(泥炭層中部),
褐灰色粘土,
建物柱材,
建築部材,
建築材?(杭),
埋没腐植土壌,
埋没腐植土層,
埋もれ木,
埋れ木,
焼土,
焼土塊,
焼杭,
焼木,
方解石,
炭化物?,
炭,
炭化炭,
炭化材片,
炭化材片･炭化物片,
炭化材片（微細）,
炭化材片（微細片多数）,
炭化材片(部位不明),
炭層,
炭混じり黒色土,
炭(№19),
炭（植物遺体）,
炭(微小),
炭質土,
炭（木材）,
炭片,
炭片（散孔材）,
炭化物,
炭質物,
炭化物（ⅡB５土器付着）,
炭化物（ⅢB２土器付着）,
炭化物（土器内付着）,
炭化物(動物の脂?),
炭化物（土器口縁に付着）,
炭化物(樹皮),
炭化物(大),
炭化物（カーボン）,
炭化物(炭化材),
炭化物(固結化),
炭質物含有砂,
炭化物(炭素量不足の為､周囲土壌を含めて測定),
炭化物(土塊),
炭化物(食物残渣),
炭化物片,
炭化物(灰質炭化物),
炭化物を含むローム,
炭化物を含む土,
炭化物を含む土壌,
炭化物(土壌混じり),
炭化物混じり粘土,
炭化物混じり泥,
炭化物混じり有機質土壌,
炭化物混じりシルト,
炭化物が混じる土壌,
炭化物混じり土壌,
炭化物混り土壌,
炭化物混土(№35),
炭化物(№109),
炭化物(由来不明),
炭化物(樹木片),
炭化物(植物片),
炭化物(植物遺体),
炭化物・植物遺体,
炭化物・植物遺体（単子葉類）,
炭化物（土器内底部付着物）,
炭化物(菌核?),
炭化物(土付),
炭化物（土壌）,
炭化物･土壌,
炭化物（深鉢型土器1の底部に付着したスス）,
炭化物(石器付着),
炭化物(不明),
炭化物（不明）,
炭化物（部位不明）,
炭化物(木炭),
炭化物（材）,
炭化物・材,
炭化物･材,
炭化物・材（樹皮）,
炭化物・材（枝）,
炭化物（材） フローテーション採集資料,
炭化物・材（節）,
炭化物・材（最外以外年輪）,
炭化物・材（小枝）,
炭化植物,
炭化植物遺体,
炭化植物遺体（双子葉植物）,
炭化植物遺体（双子葉植物？）,
炭化植物遺体（双子葉類）,
炭化植物遺体（単子葉類）,
炭化植物(ピート),
炭化植物遺体(部位不明),
"炭化材,",
炭化材,
炭化木,
"炭化材,外から1年目",
"炭化材,外から11年目",
炭化材(11-15y),
炭化材(1-5y),
炭化材(16-20y),
"炭化材,外から21年目",
"炭化材,外から21年輪",
炭化材(21-25y),
炭化材(2〜3年輪分),
炭化材(26-30?y),
炭化材(3年輪),
炭化材(3年輪:針葉樹A),
"炭化材,外から31年目",
"炭化材,外から31年輪",
"炭化材,外から35年目",
炭化材(6-10y),
炭化材A,
炭化材（遺物番号 炭1）,
炭化材（遺物番号 炭17）,
炭化材（遺物番号 炭18）,
炭化材（遺物番号 炭3）,
炭化材（遺物番号 炭4）,
炭化材（遺物番号 炭6）,
炭化材（遺物番号 炭73）,
炭化材(トネリコ類),
"炭化材,外から10年輪",
"炭化材,外から20年輪",
炭化材B,
炭化材(樹皮),
炭化材 樹皮,
炭化材（樹皮）,
炭化材(枝),
炭化材(枝材),
炭化材（枝、径数mm、最終形成年輪）,
炭化材（枝材）最終形成年輪,
炭化材（枝）最外年輪,
炭化材（枝材・木炭（0.58g））,
炭化材(枝状),
炭化材(枝状）最外年輪部,
炭化材C,
"炭化材,炭,",
"炭化材,炭化物,",
炭化材(炭質物),
"炭化材,炭化物,土壌中",
"炭化材,炭化物,樹幹",
炭化材（炭化樹皮・住居建築材）,
炭化材(塊状),
炭化材(針葉樹？),
炭化材(針葉樹か?),
炭化材(針葉樹?枝材),
炭化材(針葉樹か・樹幹),
炭化材（棟木？）,
炭化材（構築材？）,
炭化材D,
炭化材(落葉広葉樹か),
炭化材(双子葉植物),
炭化材(散光材),
炭化材(散孔材),
炭化材（散孔材）,
炭化材散孔材,
炭化材(散孔材2),
炭化材(散孔材，2年輪分),
炭化材(散孔材:5年輪),
炭化材(散孔材5年輪(外側)),
炭化材（散孔材）最終形成年輪,
炭化材(散孔材の一種),
炭化材(散孔材･環孔材),
炭化材(散孔材?),
炭化材（散孔材?）,
炭化材(散孔材？),
炭化材等,
炭化材（最終形成年輪）,
炭化材 最終形成年輪,
炭化材（最終形成年輪以外。樹皮に近い部分を採取）,
炭化材（最終形成年輪以外部位不明、外側3年輪分）,
炭化材（最終形成年輪以外部位不明、外側5年輪分）,
炭化材（最終年輪以外部位不明）,
炭化木細粒,
炭化材(水洗),
炭化木片,
炭化木片など,
炭化木片（自然木）,
炭化材(灰質),
炭化材(広葉樹?),
炭化材(広葉樹？),
炭化材（上屋）,
炭化材含む土壌,
炭化材(未同定),
炭化材（未同定）,
炭化材（カマド内）,
炭化材(鉄滓付着),
炭化材（丸木）,
炭化材(微細木片),
炭化材まじり土壌,
炭化材(複数個体),
炭化材（自然乾燥）,
炭化材（樹皮無）,
"炭化材,最外1年輪",
炭化材(最外年輪),
炭化材（最外年輪）,
炭化材最外年輪,
炭化材（最外年輪である可能性高いが不確実）,
"炭化材,最外縁",
"炭化材,外側",
炭化材（外側2年輪分）,
炭化材（外側6年輪分）,
炭化材(木片),
炭化材(杭？),
炭化材(丸材か),
炭化材 土器内面付着,
炭化材(仮材),
炭化材（垂木？）,
炭化材(環孔材?),
炭化材(環孔材),
炭化材（環孔材）,
炭化材環孔材,
炭化材（環孔材）最終形成年輪,
炭化材(環孔材類似),
炭化材（環孔材。つる性木本）,
炭化材(環孔材広葉樹),
炭化材（屋根材）,
炭化材(薄板材),
炭化材 スノコ状？,
炭化材（小片）,
炭化材(小片複数),
炭化材(土中炭片),
炭化材 土留め板？,
炭化材(2片分割),
炭化材(角または丸材),
炭化材（細材）,
炭化材(板材),
"炭化材,樹幹材,",
炭化材(樹木類),
炭化材(小枝),
"炭化材,不明",
炭化材(不明),
炭化材（不明）,
炭化材(部位不明),
炭化材(樹種不明),
炭化材（樹種不明）幹あるいは枝 最終形成年輪を含む5年輪分,
炭化材(不明散孔材),
炭化材(不明環孔材),
炭化材(つる植物),
"炭化材,網代状繊維,",
炭化材(樹皮?),
炭化材（木材）,
炭化材・木材,
"炭化材,木炭,",
炭化材（木炭）,
炭化材(木炭),
炭化材（木炭・住居建築材）,
炭化材（木炭・柱材外周部）,
炭化材（木炭・木釘状の細い枝）,
炭化木材,
炭化（樹皮）,
炭化樹皮,
炭化樹皮（壁材もしくは屋根材）,
炭化建材（消失材）,
炭化建材？,
炭化したスダレ状植物製品,
炭化部材,
炭化小枝,
埴土,
粘土,
粘土質泥炭,
粘土質シルト,
布?土壌?,
石炭,
塗膜片,
塗膜片(漆?),
塗膜,
塗膜(漆?),
塗膜(赤色顔料),
柱材,
柱材（11年輪目）,
柱材（21年輪目）,
柱材（最外縁）,
柱材（最外縁（杭））,
柱材（同定不能）,
曲物側板,
黒褐色泥炭,
黒褐色の土壌,
暗褐色粘土,
暗褐色腐植質シルト土壌,
黒褐色有機質シルト,
