"MaterialType","Materials_Details_EN","Notes"
"？",,"Needs translation"
"(土壌混じり)炭化物","carbonized soil material",""
"(粉状)炭化物","carbonized material",""
"470杭列","wooden stake, wood indet.",""
"AM2250(編物)","Knitted artefact",""
"humic clay","Humic Clay",""
"humic sand","Humic Sand",""
"humic slit","Humic Silt",""
"organic sediment","organic sediment",""
"peat","peat",""
"plant fragment",,"Needs translation"
"plant material",,"Needs translation"
"shell","shell, indet. mollusc",""
"wood","wood, wood indet.",""
"アカガシ亜属",", ring-cupped oaks (Quercus subgenus Cyclobalanopsis)",""
"アカガシ亜属(堅果類）","Akagashi (subgen. Cyclobalanopsis)",""
"アカガシ亜属果実","Akagashi (subgen. Cyclobalanopsis)",""
"アカマツ材","material, pine (Pinus sp.)",""
"アゲマキ","Agemakigai (Sinonovacula constricta)",""
"アサリ","Asari (Ruditapes philippinarum)",""
"アサリ、カキ","Asari (Ruditapes philippinarum), Kaki (Ostreoidea)",""
"アサリ、クボガイ","Asari (Ruditapes philippinarum), Kubogai (Chlorostoma argyrostoma lischkei)",""
"アサリ貝殻","Asari (Ruditapes philippinarum)",""
"アシカ骨 雄右尺骨","Ashika (Otariinae)",""
"アシカ骨 雌左脛骨","Ashika (Otariinae)",""
"アズキ","adzuki bean (Vigna angularis)",""
"アズキ炭化種子",,"Needs translation"
"アスナロ","Asunaro (Thujopsis dolabrata)",""
"アスファルト?","bitumen?",""
"アワビ","Awabi (Haliotis)",""
"アワ炭化胚乳","carbonized foxtail millet (Setaria italica)",""
"イガイ","Igai (Mytilus coruscus)",""
"イシガイ類？の殻皮","ishigai mussel (Unio douglasiae)",""
"イシガニ(イシガニ科)",,"Needs translation"
"イチイガシ","red bark oak (Quercus gilva)",""
"イチイガシ?(堅果)","nut red bark oak (Quercus gilva)",""
"イチイガシ(堅果)","nut red bark oak (Quercus gilva)",""
"イチイガシ子葉","cotyledon red bark oak (Quercus gilva)",""
"イチイガシ果実","fruit /achenes etc red bark oak (Quercus gilva)",""
"イヌ 大腿骨 左","dog (Canis lupus familiaris ) left femur",""
"イヌ 環椎","dog (Canis lupus familiaris ) vertebra vertebra",""
"イヌ 腰椎","dog (Canis lupus familiaris ) lumbar vertebra vertebra",""
"イヌエンジュ","Amur maackia (Maackia amurensis)",""
"イヌガヤ","plum yew (Cephalotaxus harringtonia)",""
"イヌガヤ?種子","seed plum yew (Cephalotaxus harringtonia)",""
"イヌガヤ（樹皮）","bark, plum yew (Cephalotaxus harringtonia)",""
"イヌガヤ（樹芯）","heartwood, plum yew (Cephalotaxus harringtonia)",""
"イヌガヤ種子","seed plum yew (Cephalotaxus harringtonia)",""
"イヌ上腕骨","dog (Canis lupus familiaris ) humerus",""
"イヌ下顎骨","dog (Canis lupus familiaris ) manidble",""
"イネ","rice (Oryza sativa)",""
"イネの果実類","fruit /achenes etc rice (Oryza sativa)",""
"イネモミ","rice (Oryza sativa) fir (Abies sp.)",""
"イネ未炭化籾殻","carbonized shell, rice (Oryza sativa) rice unhusked (Oryza sp.)",""
"イネ炭化種子","carbonized seed rice (Oryza sativa)",""
"イネ炭化胚乳","carbonized rice (Oryza sativa)",""
"イネ科B炭化種子","carbonized seed Poaceae",""
"イネ科稈","culm Poaceae",""
"イネ胚乳","rice (Oryza sativa)",""
"イノシシ 下顎骨","wild boar (Sus scrofa) manidble",""
"イノシシ 下顎骨 右","wild boar (Sus scrofa) right manidble",""
"イノシシ 右下顎骨･第三後臼歯","wild boar (Sus scrofa) right manidble 3rd molar tooth",""
"イノシシ 右橈骨","wild boar (Sus scrofa) right radius",""
"イノシシ 右第三後臼歯","wild boar (Sus scrofa) right 3rd molar tooth",""
"イノシシ 右第二後臼歯","wild boar (Sus scrofa) right 2nd molar tooth",""
"イノシシ?(上顎骨)",,"Needs translation"
"イノシシ?(下顎骨)",,"Needs translation"
"イノシシ(上肢骨:肩甲骨)",,"Needs translation"
"イノシシ(上顎骨)",,"Needs translation"
"イノシシ(下顎M3)",,"Needs translation"
"イノシシ(下顎骨)",,"Needs translation"
"イノシシ(中手/中足骨)",,"Needs translation"
"イノシシ(右上腕骨)",,"Needs translation"
"イノシシ(右上顎11)",,"Needs translation"
"イノシシ(右上顎P2)",,"Needs translation"
"イノシシ(右上顎骨+歯)",,"Needs translation"
"イノシシ(右下顎骨+歯)",,"Needs translation"
"イノシシ(右橈骨)",,"Needs translation"
"イノシシ(右脛骨)",,"Needs translation"
"イノシシ(右頭頂骨)",,"Needs translation"
"イノシシ(四肢骨)",,"Needs translation"
"イノシシ(大腿骨?)",,"Needs translation"
"イノシシ(左上顎M2)",,"Needs translation"
"イノシシ(左下顎C)",,"Needs translation"
"イノシシ(左下顎P3,P4,M1)",,"Needs translation"
"イノシシ(左下顎骨+歯)",,"Needs translation"
"イノシシ(左脛骨)",,"Needs translation"
"イノシシ(橈骨)",,"Needs translation"
"イノシシ(肋骨)",,"Needs translation"
"イノシシ(脛骨)",,"Needs translation"
"イノシシ(頭骨片)",,"Needs translation"
"イノシシの歯","wild boar (Sus scrofa) tooth",""
"イノシシ中足骨","wild boar (Sus scrofa) metatarsal",""
"イルカ脊椎骨","dolphin /toothed whales (odontocetes) vertebra",""
"ウキヤガラ近似種(種実)","seed/nuts or similar club-rush ( Bolboschoenus yagara syn. Scirpus yagara)",""
"ウサギ歯","hare, amami rabbit, pika etc (Lagomorph) tooth",""
"ウシ(下顎骨+歯)",,"Needs translation"
"ウニ(棘)",,"Needs translation"
"ウマ(上顎歯:歯の内部のエナメル質)","horse (Equus ferus) upper jaw tooth",""
"ウマの歯",,"Needs translation"
"ウマの臼歯","horse (Equus ferus) molar tooth",""
"ウマ臼歯","horse (Equus ferus) molar tooth",""
"ウマ臼歯 上顎歯牙","horse (Equus ferus) upper jaw molar tooth",""
"ウマ臼歯 左上顎歯牙","horse (Equus ferus) left upper jaw molar tooth",""
"ウメ核","Japanese apricot (Prunus mume)",""
"ウルシ","poison oak/ivy (Toxicodendron sp.)",""
"ウルシ材",,"Needs translation"
"エゴノキ種子","seed snowbell tree (Styrax japonica)",""
"エノキ","Japanese hackberry (Celtis sinensis var. japonica)",""
"オオタニシ","pond snail (Viviparidae spp.)​",""
"オオノガイ","soft shell clam (Mya arenaria syn. oonogai)",""
"オオムギ",,"Needs translation"
"オオムギ胚乳","barley (Hordeum sp.)",""
"オキシジミ貝殻","black clam (Cyclina sinensis) basket clam (Corbiculidae spp.)",""
"オニグルミ","walnut (Juglans ailanthifolia)",""
"オニグルミ 殻","shell walnut (Juglans ailanthifolia)",""
"オニグルミ(種子)","seed walnut (Juglans ailanthifolia)",""
"オニグルミ内果皮","endocarp pericarp walnut (Juglans ailanthifolia)",""
"オニグルミ堅果","nut walnut (Juglans ailanthifolia)",""
"オニグルミ核","walnut (Juglans ailanthifolia)",""
"オニグルミ殻","shell walnut (Juglans ailanthifolia)",""
"オニグルミ炭化核","carbonized walnut (Juglans ailanthifolia)",""
"オニグルミ炭化核?","carbonized walnut (Juglans ailanthifolia)",""
"オニノツノガイ科オオシマカニモリ(Clypeomorus subbrevicula)",,"Needs translation"
"オリーブ色シルト質粘土（貝混じり）","clay silt shellfish",""
"オリーブ褐色土層","soil layer brown soil",""
"カエデ属","maple (Acer sp.)",""
"カガミガイ","venus clam (Dosinia japonica)",""
"カキ","oysters (Ostreidae)",""
