JpNames,Translation,Region,NabunkenCode
愛知,Aichi,Chubu,"23"
岐阜,Gifu,Chubu,"21"
秋田,Akita,Tohoku,"05"
石川,Ishikawa,Chubu,"17"
青森,Aomori,Tohoku,"02"
千葉,Chiba,Kanto,"12"
愛媛,Ehime,Shikoku,"38"
佐賀,Saga,Kyushu,"41"
福岡,Fukuoka,Kyushu,"40"
宮崎,Miyazaki,Kyushu,"45"
高知,Kochi,Shikoku,"39"
大分,Oita,Kyushu,"44"
長崎,Nagasaki,Kyushu,"42"
熊本,Kumamoto,Kyushu,"43"
広島,Hiroshima,Chugoku,"34"
福井,Fukui,Chubu,"18"
群馬,Gunma,Kanto,"10"
北海道,Hokkaido,Hokkaido,"01"
福島,Fukushima,Tohoku,"07"
神奈川,Kanagawa,Kanto,"14"
兵庫,Hyogo,Kansai,"28"
茨城,Ibaraki,Kanto,"08"
岩手,Iwate,Tohoku,"03"
鹿児島,Kagoshima,Kyushu,"46"
香川,Kagawa,Shikoku,"37"
京都,Kyoto,Kansai,"26"
三重,Mie,Kansai,"24"
宮城,Miyagi,Tohoku,"04"
新潟,Niigata,Chubu,"15"
長野,Nagano,Chubu,"20"
奈良,Nara,Kansai,"29"
東京,Tokyo,Kanto,"13"
岡山,Okayama,Chugoku,"33"
沖縄,Okinawa,Kyushu,"47"
大阪,Osaka,Kansai,"27"
富山,Toyama,Chubu,"16"
鳥取,Tottori,Chugoku,"31"
埼玉,Saitama,Kanto,"11"
滋賀,Shiga,Kansai,"25"
島根,Shimane,Chugoku,"32"
静岡,Shizuoka,Chubu,"22"
栃木,Tochigi,Kanto,"09"
徳島,Tokushima,Shikoku,"36"
山形,Yamagata,Tohoku,"06"
山梨,Yamanashi,Chubu,"19"
和歌山,Wakayama,Kansai,"30"
山口,Yamaguchi,Chugoku,"35"
