"Material_Classification","Material_Details_JPN","Material_Details_EN","inconsistent"
"Other Charred Remains","(土壌混じり)炭化物",NA,FALSE
"Other Charred Remains","(粉状)炭化物",NA,FALSE
"Wood","AM2250(編物)",NA,FALSE
"Soil","humic clay",NA,FALSE
"Soil","humic sand",NA,FALSE
"Soil","humic slit",NA,FALSE
"Peat","organic sediment",NA,TRUE
"Soil","organic sediment",NA,TRUE
"Peat","peat",NA,FALSE
"Wood","plant fragment",NA,FALSE
"Wood","plant material",NA,FALSE
"Seed","アカガシ亜属(堅果類）",NA,FALSE
"Seed","アカガシ亜属果実",NA,FALSE
"Shell","アゲマキ",NA,FALSE
"Shell","アサリ",NA,FALSE
"Shell","アサリ、カキ",NA,FALSE
"Shell","アサリ、クボガイ",NA,FALSE
"Shell","アサリ貝殻",NA,FALSE
"Fish bone","アシカ骨　雄右尺骨",NA,FALSE
"Fish bone","アシカ骨　雌左脛骨",NA,FALSE
"Seed","アズキ",NA,TRUE
"Charred Seed","アズキ",NA,TRUE
"Wood","アスナロ",NA,FALSE
"Other unknown samples","アスファルト?",NA,FALSE
"Shell","アワビ",NA,FALSE
"Charred Seed","アワ炭化胚乳",NA,FALSE
"Shell","イガイ",NA,FALSE
"Shell","イシガイ類？の殻皮",NA,FALSE
"Seed","イチイガシ",NA,FALSE
"Seed","イチイガシ?(堅果)",NA,FALSE
"Seed","イチイガシ(堅果)",NA,FALSE
"Seed","イチイガシ子葉",NA,FALSE
"Seed","イチイガシ果実",NA,FALSE
"Animal Bone","イヌ　大腿骨　左",NA,FALSE
"Animal Bone","イヌ　環椎",NA,FALSE
"Animal Bone","イヌ　腰椎",NA,FALSE
"Wood","イヌエンジュ",NA,FALSE
"Wood","イヌガヤ",NA,FALSE
"Seed","イヌガヤ?種子",NA,FALSE
"Seed","イヌガヤ種子",NA,FALSE
"Animal Bone","イヌ上腕骨",NA,FALSE
"Animal Bone","イヌ下顎骨",NA,FALSE
"Seed","イネ",NA,TRUE
"Charred Seed","イネ",NA,TRUE
"Seed","イネの果実類",NA,FALSE
"Seed","イネモミ",NA,FALSE
"Charred Seed","イネ炭化種子",NA,FALSE
"Charred Seed","イネ炭化胚乳",NA,FALSE
"Charred Seed","イネ科B炭化種子",NA,FALSE
"Wood","イネ科稈",NA,FALSE
"Seed","イネ胚乳",NA,FALSE
"Animal Bone","イノシシ　下顎骨",NA,FALSE
"Animal Bone","イノシシ　下顎骨　右",NA,FALSE
"Animal Bone","イノシシ　右下顎骨･第三後臼歯",NA,FALSE
"Animal Bone","イノシシ　右橈骨",NA,FALSE
"Animal Bone","イノシシ　右第三後臼歯",NA,FALSE
"Animal Bone","イノシシ　右第二後臼歯",NA,FALSE
"Animal Bone","イノシシの歯",NA,FALSE
"Animal Bone","イノシシ中足骨",NA,FALSE
"Fish bone","イルカ脊椎骨",NA,FALSE
"Seed","ウキヤガラ近似種(種実)",NA,FALSE
"Animal Bone","ウサギ歯",NA,FALSE
"Animal Bone","ウマ(上顎歯:歯の内部のエナメル質)",NA,FALSE
"Animal Bone","ウマの臼歯",NA,FALSE
"Animal Bone","ウマ臼歯",NA,FALSE
"Animal Bone","ウマ臼歯　上顎歯牙",NA,FALSE
"Animal Bone","ウマ臼歯　左上顎歯牙",NA,FALSE
"Seed","ウメ核",NA,FALSE
"Lacquer","ウルシ",NA,FALSE
"Seed","エゴノキ種子",NA,FALSE
"Wood","エノキ",NA,FALSE
"Shell","オオタニシ",NA,FALSE
"Shell","オオノガイ",NA,FALSE
"Seed","オオムギ胚乳",NA,FALSE
"Shell","オキシジミ貝殻",NA,FALSE
"Seed","オニグルミ",NA,FALSE
"Seed","オニグルミ　殻",NA,FALSE
"Seed","オニグルミ(種子)",NA,FALSE
"Seed","オニグルミ内果皮",NA,FALSE
"Seed","オニグルミ堅果",NA,FALSE
"Seed","オニグルミ核",NA,FALSE
"Seed","オニグルミ殻",NA,FALSE
"Charred Seed","オニグルミ炭化核",NA,FALSE
"Charred Seed","オニグルミ炭化核?",NA,FALSE
"Soil","オリーブ色シルト質粘土（貝混じり）",NA,FALSE
"Soil","オリーブ褐色土層",NA,FALSE
"Wood","カエデ属",NA,FALSE
"Shell","カガミガイ",NA,FALSE
"Shell","カキ",NA,FALSE
"Shell","カキ、オキシジミガイ",NA,FALSE
"Shell","カキ、クボガイ",NA,FALSE
"Shell","カキ、コシダカガンガラ",NA,FALSE
"Shell","カキ、コシダカガンガラ、クボガイ",NA,FALSE
"Shell","カキ①",NA,FALSE
"Shell","カキ②",NA,FALSE
"Shell","カキ③",NA,FALSE
"Shell","カキO1",NA,FALSE
"Shell","カキO2",NA,FALSE
"Shell","カキ貝",NA,FALSE
"Wood","カゴ状炭化物",NA,FALSE
"Wood","カシ類",NA,FALSE
"Animal Bone","カモ亜科　烏口骨",NA,FALSE
"Seed","カヤツリグサ科(種実)",NA,FALSE
"Other Charred Remains","カヤ状炭化物",NA,FALSE
"Terrestrial mollusc","カワシンジュガイ",NA,FALSE
"Terrestrial mollusc","カワシンジュガイ腹縁",NA,FALSE
"Shell","カワニナ",NA,FALSE
"Animal Bone","カワハギ科腰帯",NA,FALSE
"Animal Bone","ガン亜科　上腕　左",NA,FALSE
"Seed","キカラスウリ(種子)",NA,FALSE
"Seed","キカラスウリ種子",NA,FALSE
"Shell","キクザルガイ",NA,FALSE
"Wood","キセル・羅宇",NA,FALSE
"Wood","キハダ",NA,TRUE
"Charred Seed","キハダ",NA,TRUE
"Shell","クジラ目腰椎",NA,FALSE
"Fish bone","クジラ類",NA,FALSE
"Other Charred Remains","クッキー状炭化物",NA,FALSE
"Wood","クヌギ",NA,TRUE
"Seed","クヌギ",NA,TRUE
"Seed","クヌギ(堅果)",NA,FALSE
"Seed","クヌギ節果実",NA,FALSE
"Animal Bone","クマ　中手/中足",NA,FALSE
"Animal Bone","クマ　大腿骨　右　遠位",NA,FALSE
"Animal Bone","クマ犬歯",NA,FALSE
"Wood","クリ",NA,FALSE
"Wood","クリ?",NA,FALSE
"Seed","クリ(種子)",NA,FALSE
"Seed","クリの実",NA,FALSE
"Seed","クリ子葉",NA,FALSE
"Wood","クリ材",NA,FALSE
"Seed","クリ果実",NA,FALSE
"Seed","クリ果皮",NA,FALSE
"Charred Seed","クリ炭化子葉",NA,FALSE
"Seed","クリ皮",NA,FALSE
"Seed","クリ種実",NA,FALSE
"Seed","クリ種皮",NA,FALSE
"Wood","クリ近似種",NA,FALSE
"Seed","クルミ",NA,TRUE
"Charred Seed","クルミ",NA,TRUE
"Seed","クルミ（未炭化）",NA,FALSE
"Seed","クルミの殻",NA,FALSE
"Seed","クルミ属内果皮",NA,FALSE
"Charred Seed","クルミ属堅果",NA,FALSE
"Seed","クルミ果皮",NA,FALSE
"Seed","クルミ核片",NA,FALSE
"Seed","クルミ殻",NA,TRUE
"Charred Seed","クルミ殻",NA,TRUE
"Seed","クルミ種子",NA,TRUE
"Charred Seed","クルミ種子",NA,TRUE
"Wood","ケヤキ",NA,FALSE
"Wood","ケヤキ根",NA,FALSE
"Wood","コナラ属",NA,FALSE
"Seed","コナラ属(堅果）",NA,FALSE
"Seed","コナラ属アカガシ亜属果実",NA,FALSE
"Seed","コナラ属果実",NA,FALSE
"Wood","コナラ属樹皮",NA,FALSE
"Charred Seed","コナラ属炭化子葉",NA,FALSE
"Seed","コナラ殻斗",NA,FALSE
"Seed","コムギ",NA,FALSE
"Human Bone","コラーゲン(人骨)",NA,FALSE
"Wood","サクラ類",NA,FALSE
"Fish bone","サメ椎体",NA,FALSE
"Shell","サルボウ",NA,FALSE
"Animal Bone","シカ　下顎骨　右",NA,FALSE
"Animal Bone","シカ　右大腿骨",NA,FALSE
"Animal Bone","シカ(右前頭骨)",NA,FALSE
"Animal Bone","シカの歯",NA,FALSE
"Animal Bone","シカの角",NA,FALSE
"Animal Bone","シカ大腿骨",NA,FALSE
"Animal Bone","シカ角",NA,FALSE
"Animal Bone","シカ距骨",NA,FALSE
"Animal Bone","シカ頸椎骨",NA,FALSE
"Soil","シルト",NA,FALSE
"Soil","シルト混じり細砂",NA,FALSE
"Soil","シルト質粘土",NA,FALSE
"Wood","スギ",NA,FALSE
"Wood","スサ材",NA,FALSE
"Fish bone","スズキ",NA,FALSE
"Other Charred Remains","スス状炭化物",NA,FALSE
"Wood","スダジイ",NA,FALSE
"Other unknown samples","その他,",NA,FALSE
"Wood","その他,アシ,",NA,FALSE
"Wood","その他,ウツギ,",NA,FALSE
"Other unknown samples","その他,不明
,",NA,FALSE
"Soil","その他,土壌,",NA,FALSE
"Wood","その他,松葉,",NA,FALSE
"Wood","その他,植物繊維,",NA,FALSE
"Wood","その他,植物遺体,",NA,FALSE
"Other Charred Remains","その他,炭化物,",NA,FALSE
"Other unknown samples","その他,砥石付着物,胴外",NA,FALSE
"Wood","その他,竹皮,",NA,FALSE
"Wood","その他,繊維,",NA,FALSE
"Metal","その他,鉄,袋部",NA,FALSE
"Metal","その他,鉄,袋部刃先近く",NA,FALSE
"Wood","ソバの茎",NA,FALSE
"Wood","タケ",NA,FALSE
"Wood","タケ亜科稈",NA,FALSE
"Wood","タケ類",NA,FALSE
"Animal Bone","タヌキ下顎骨",NA,FALSE
"Seed","ツバキ種子",NA,FALSE
"Seed","トウヒ毬果",NA,FALSE
"Charred Remain","トクサ",NA,FALSE
"Seed","トチ",NA,FALSE
"Wood","トチノキ",NA,FALSE
"Seed","トチノキ子葉",NA,FALSE
"Seed","トチノキ果実",NA,FALSE
"Seed","トチノキ果皮",NA,FALSE
"Charred Seed","トチノキ炭化種子",NA,FALSE
"Seed","トチノキ種子",NA,FALSE
"Seed","トチノキ種皮",NA,FALSE
"Seed","トチノキ種皮片",NA,FALSE
"Seed","トチの実",NA,FALSE
"Seed","トチの実の殻",NA,FALSE
"Seed","トチの実の皮?",NA,FALSE
"Seed","トチ種子",NA,FALSE
"Seed","トチ種実",NA,FALSE
"Seed","トチ種皮",NA,FALSE
"Wood","トネリコ類",NA,FALSE
"Organic Residue from Pottery","トリベ付着物",NA,FALSE
"Seed","ドングリ",NA,TRUE
"Charred Seed","ドングリ",NA,TRUE
"Seed","ドングリの果皮",NA,FALSE
"Wood","ドングリ木片(Ⅺ層)",NA,FALSE
"Seed","ドングリ果皮",NA,FALSE
"Charred Seed","ドングリ炭化種子",NA,FALSE
"Seed","ドングリ種実",NA,FALSE
"Seed","ドングリ類種子",NA,FALSE
"Animal Bone","ナウマン象　骨化石",NA,FALSE
"Shell","ナミマガシワ･カガミガイ他",NA,FALSE
"Wood","ナラ",NA,FALSE
"Seed","ナラガシワ(堅果)",NA,FALSE
"Wood","ナラ類",NA,FALSE
"Animal Bone","ニホンジカ　大腿骨",NA,FALSE
"Animal Bone","ニホンジカまたはニホンイノシシ下顎骨下端部",NA,FALSE
"Animal Bone","ニホンジカ上顎骨",NA,FALSE
"Animal Bone","ニホンジカ肩甲骨",NA,FALSE
"Animal Bone","ニホンジカ角",NA,FALSE
"Animal Bone","ニホンジカ足根骨",NA,FALSE
"Seed","ニワトコ種子",NA,FALSE
"Wood","ヌルデ",NA,FALSE
"Animal Bone","ネコ脛骨",NA,FALSE
"Shell","ハイガイ",NA,FALSE
"Shell","ハイガイ(H1)",NA,FALSE
"Shell","ハイガイ(H2)",NA,FALSE
"Shell","ハイガイ(H3)",NA,FALSE
"Shell","ハイガイ①",NA,FALSE
"Shell","ハイガイ②",NA,FALSE
"Shell","ハイガイ③",NA,FALSE
"Shell","ハイガイH1",NA,FALSE
"Shell","ハイガイH2",NA,FALSE
"Shell","ハイガイH3",NA,FALSE
"Shell","バカガイ",NA,FALSE
"Shell","ハマグリ",NA,FALSE
"Shell","ハマグリ･カキ",NA,FALSE
"Shell","ハマグリ右殻",NA,FALSE
"Shell","ハマグリ貝殻",NA,FALSE
"Wood","ハンノキ属",NA,FALSE
"Wood","ハンノキ属幹",NA,FALSE
"Seed","ハンノキ属果序",NA,FALSE
"Seed","ハンノキ属果鱗",NA,FALSE
"Seed","ハンノキ属鱗片",NA,FALSE
"Seed","ハンノキ果実　果実鱗片",NA,FALSE
"Seed","ハンノキ果実、イヌシデ果実、アサダ果実",NA,FALSE
"Seed","ハンノキ果実鱗片",NA,FALSE
"Wood","ハンノキ類",NA,FALSE
"Peat","ピート",NA,FALSE
"Seed","ヒエ",NA,TRUE
"Charred Seed","ヒエ",NA,TRUE
"Seed","ヒシ種子",NA,FALSE
"Human Bone","ヒトの歯",NA,FALSE
"Human Bone","ヒトの歯(上顎右第2乳臼歯)",NA,FALSE
"Human Bone","ヒト下顎骨",NA,FALSE
"Human Bone","ヒト右上顎第2大臼歯",NA,FALSE
"Human Bone","ヒト左下顎第3大臼歯",NA,FALSE
"Human Bone","ヒト腓骨",NA,FALSE
"Human Bone","ヒト遊離歯",NA,FALSE
"Human Bone","ヒト頭蓋骨",NA,FALSE
"Human Bone","ヒト頭骨側頭骨",NA,FALSE
"Seed","ヒメグルミ核",NA,FALSE
"Seed","ひょうたん",NA,FALSE
"Seed","ひょうたんの皮",NA,FALSE
"Seed","ヒョウタン果実",NA,FALSE
"Seed","ヒョウタン類(種子)",NA,FALSE
"Fish bone","ヒラメ椎骨",NA,FALSE
"Animal Bone","ブタ第2後臼歯",NA,FALSE
"Seed","ブドウ属種子",NA,FALSE
"Charred Seed","ブドウ科種子",NA,FALSE
"Seed","ブナ果実",NA,FALSE
"Humic substances ","フルボ酸",NA,FALSE
"Other Charred Remains","フローテーション採集資料",NA,FALSE
"Shell","ヘビ貝",NA,FALSE
"Soil","ボーリングコア",NA,FALSE
"Shell","ホタテガイ",NA,FALSE
"Seed","ホタルイ属果実",NA,FALSE
"Fish bone","マイルカ　頭蓋骨",NA,FALSE
"Fish bone","マイルカ骨",NA,FALSE
"Shell","マガキ",NA,FALSE
"Shell","マガキ貝殻",NA,FALSE
"Shell","マグロ属腹椎",NA,FALSE
"Seed","マクワ･シロウリ型種子",NA,FALSE
"Peat","マコモ層",NA,FALSE
"Wood","マツ類",NA,FALSE
"Shell","マテガイ",NA,FALSE
"Seed","マメもしくはドングリ子葉",NA,FALSE
"Seed","マメ類",NA,FALSE
"Seed","ミクリ属果実",NA,FALSE
"Wood","ムクロジ",NA,FALSE
"Seed","もみがら",NA,FALSE
"Seed","モモ核",NA,FALSE
"Seed","モモ核(内果実)",NA,FALSE
"Seed","モモ種子",NA,FALSE
"Wood","ヤナギ属",NA,FALSE
"Wood","ヤナギ属幹",NA,FALSE
"Wood","ヤナギ類",NA,FALSE
"Animal Bone","ヤベオオツノジカ",NA,FALSE
"Wood","ヤマグワ",NA,FALSE
"Shell","ヤマトシジミ",NA,FALSE
"Shell","ヤマトシジミ貝殻",NA,FALSE
"Charred Seed","ヤマブドウ種子",NA,FALSE
"Shell","ユキガイ貝殻",NA,FALSE
"Other Charred Remains","ユリ科鱗茎",NA,FALSE
"Soil","ローム試料",NA,FALSE
"Charred Remain","ワラ状炭化物",NA,FALSE
"Human Bone","上腕骨",NA,FALSE
"Other unknown samples","不明",NA,TRUE
"Other Charred Remains","不明",NA,TRUE
