"Material_Classification","Material_Details_JPN","inconsistent","Materials_Details_EN","Materials_Detail_Identification_EN","Materials_Detail_Other_EN","Materials_Detail_Notes_EN"
"Animal Bone","イヌ 大腿骨 左",0,"dog (Canis lupus familiaris ) left femur","dog (Canis lupus familiaris )","left femur",""
"Animal Bone","イヌ 環椎",0,"dog (Canis lupus familiaris ) vertebra vertebra","dog (Canis lupus familiaris )","vertebra vertebra",""
"Animal Bone","イヌ 腰椎",0,"dog (Canis lupus familiaris ) lumbar vertebra vertebra","dog (Canis lupus familiaris )","lumbar vertebra vertebra",""
"Animal Bone","イヌ上腕骨",0,"dog (Canis lupus familiaris ) humerus","dog (Canis lupus familiaris )","humerus",""
"Animal Bone","イヌ下顎骨",0,"dog (Canis lupus familiaris ) manidble","dog (Canis lupus familiaris )","manidble",""
"Animal Bone","イノシシ 下顎骨",0,"wild boar (Sus scrofa) manidble","wild boar (Sus scrofa)","manidble",""
"Animal Bone","イノシシ 下顎骨 右",0,"wild boar (Sus scrofa) right manidble","wild boar (Sus scrofa)","right manidble",""
"Animal Bone","イノシシ 右下顎骨･第三後臼歯",0,"wild boar (Sus scrofa) right manidble 3rd molar tooth","wild boar (Sus scrofa)","right manidble 3rd molar tooth",""
"Animal Bone","イノシシ 右橈骨",0,"wild boar (Sus scrofa) right radius","wild boar (Sus scrofa)","right radius",""
"Animal Bone","イノシシ 右第三後臼歯",0,"wild boar (Sus scrofa) right 3rd molar tooth","wild boar (Sus scrofa)","right 3rd molar tooth",""
"Animal Bone","イノシシ 右第二後臼歯",0,"wild boar (Sus scrofa) right 2nd molar tooth","wild boar (Sus scrofa)","right 2nd molar tooth",""
"Animal Bone","イノシシの歯",0,"wild boar (Sus scrofa) tooth","wild boar (Sus scrofa)","tooth",""
"Animal Bone","イノシシ中足骨",0,"wild boar (Sus scrofa) metatarsal","wild boar (Sus scrofa)","metatarsal",""
"Animal Bone","ウサギ歯",0,"hare, amami rabbit, pika etc (Lagomorph) tooth","hare, amami rabbit, pika etc (Lagomorph)","tooth",""
"Animal Bone","ウマ(上顎歯:歯の内部のエナメル質)",0,"horse (Equus ferus) upper jaw tooth","horse (Equus ferus)","upper jaw tooth",""
"Animal Bone","ウマの臼歯",0,"horse (Equus ferus) molar tooth","horse (Equus ferus)","molar tooth",""
"Animal Bone","ウマ臼歯",0,"horse (Equus ferus) molar tooth","horse (Equus ferus)","molar tooth",""
"Animal Bone","ウマ臼歯 上顎歯牙",0,"horse (Equus ferus) upper jaw molar tooth","horse (Equus ferus)","upper jaw molar tooth",""
"Animal Bone","ウマ臼歯 左上顎歯牙",0,"horse (Equus ferus) left upper jaw molar tooth","horse (Equus ferus)","left upper jaw molar tooth",""
"Animal Bone","カモ亜科 烏口骨",0,"duck (Anatidae etc) coracoid","duck (Anatidae etc)","coracoid",""
"Animal Bone","カワハギ科腰帯",0,"filefish (Monacanthidae ?Stephanolepis cirrhifer) pelvic girdle","filefish (Monacanthidae ?Stephanolepis cirrhifer)","pelvic girdle",""
"Animal Bone","ガン亜科 上腕 左",0,"geese (Anserinae) left humerus","geese (Anserinae)","left humerus",""
"Animal Bone","クマ 中手/中足",0,"bear (Ursidae) phlanges metatarsal","bear (Ursidae)","phlanges metatarsal",""
"Animal Bone","クマ 大腿骨 右 遠位",0,"bear (Ursidae) right femur","bear (Ursidae)","right femur",""
"Animal Bone","クマ犬歯",0,"bear (Ursidae) canine tooth","bear (Ursidae)","canine tooth",""
"Animal Bone","シカ 下顎骨 右",0,"deer (Cervidae) right manidble","deer (Cervidae)","right manidble",""
"Animal Bone","シカ 右大腿骨",0,"deer (Cervidae) right femur","deer (Cervidae)","right femur",""
"Animal Bone","シカ(右前頭骨)",0,"deer (Cervidae) right skull frontal cranium","deer (Cervidae)","right skull frontal cranium",""
"Animal Bone","シカの歯",0,"deer (Cervidae) tooth","deer (Cervidae)","tooth",""
"Animal Bone","シカの角",0,"deer (Cervidae) antler/horn","deer (Cervidae)","antler/horn",""
"Animal Bone","シカ大腿骨",0,"deer (Cervidae) femur","deer (Cervidae)","femur",""
"Animal Bone","シカ角",0,"deer (Cervidae) antler/horn","deer (Cervidae)","antler/horn",""
"Animal Bone","シカ距骨",0,"deer (Cervidae)","deer (Cervidae)","",""
"Animal Bone","シカ頸椎骨",0,"deer (Cervidae) cervical vertebra vertebra","deer (Cervidae)","cervical vertebra vertebra",""
"Animal Bone","タヌキ下顎骨",0,"raccoon dog (Nyctereutes procyonoides) manidble","raccoon dog (Nyctereutes procyonoides)","manidble",""
"Animal Bone","ナウマン象 骨化石",0,"elephant (Elephantidae spp. Palaeoloxodon?) fossil bone","elephant (Elephantidae spp. Palaeoloxodon?)","fossil bone",""
"Animal Bone","ニホンジカ 大腿骨",0,"sika deer (Cervus nippon) femur","sika deer (Cervus nippon)","femur",""
"Animal Bone","ニホンジカまたはニホンイノシシ下顎骨下端部",0,"wild boar (Sus scrofa) sika deer (Cervus nippon) manidble","wild boar (Sus scrofa) sika deer (Cervus nippon)","manidble",""
"Animal Bone","ニホンジカ上顎骨",0,"sika deer (Cervus nippon) upper jaw","sika deer (Cervus nippon)","upper jaw",""
"Animal Bone","ニホンジカ肩甲骨",0,"sika deer (Cervus nippon) scapula","sika deer (Cervus nippon)","scapula",""
"Animal Bone","ニホンジカ角",0,"sika deer (Cervus nippon) antler/horn","sika deer (Cervus nippon)","antler/horn",""
"Animal Bone","ニホンジカ足根骨",0,"sika deer (Cervus nippon) tarsus","sika deer (Cervus nippon)","tarsus",""
"Animal Bone","ネコ脛骨",0,"cat (Felis, Prionailurus) tibia","cat (Felis, Prionailurus)","tibia",""
"Animal Bone","ブタ第2後臼歯",0,"pig (Sus scrofa domesticus) molar tooth","pig (Sus scrofa domesticus)","molar tooth",""
"Animal Bone","ヤベオオツノジカ",0,"Megloceros type deer (Sinomegaceros yabei)","Megloceros type deer (Sinomegaceros yabei)","",""
"Animal Bone","偶蹄類臼歯",0,"even-toe ungulate (Artiodactyla) molar tooth","even-toe ungulate (Artiodactyla)","molar tooth",""
"Animal Bone","動物歯牙（キツネ下顎犬歯）",0,"fox (Vulpes vulpes) canine tooth","fox (Vulpes vulpes)","canine tooth",""
"Animal Bone","動物遺存体 ウマ 右大腿骨骨頭",0,"horse (Equus ferus) right femur","horse (Equus ferus)","right femur",""
"Animal Bone","動物骨",0,"animal indet.","animal indet.","",""
"Animal Bone","動物骨(シカ中手骨)",0,"deer (Cervidae) animal indet. phlanges","deer (Cervidae) animal indet.","phlanges",""
"Animal Bone","動物骨片",0,"animal indet. bone fragment","animal indet.","bone fragment",""
"Animal Bone","哺乳類四肢骨骨幹部",0,"mammal indet. limb bone","mammal indet.","limb bone",""
"Animal Bone","四肢骨片(ウシ）",0,"cattle (Bos taurus) limb bone bone fragment","cattle (Bos taurus)","limb bone bone fragment",""
"Animal Bone","歯（シカ）",0,"deer (Cervidae) tooth","deer (Cervidae)","tooth",""
"Animal Bone","焼骨 哺乳類 四肢骨",0,"mammal indet. cremated limb bone","mammal indet.","cremated limb bone",""
"Animal Bone","焼骨(哺乳類)",0,"mammal indet. cremated","mammal indet.","cremated",""
"Animal Bone","牛歯",0,"cattle (Bos taurus) tooth","cattle (Bos taurus)","tooth",""
"Animal Bone","牛科獣類の臼歯",0,"cattle (Bos taurus) molar tooth","cattle (Bos taurus)","molar tooth",""
"Animal Bone","獣骨",0,"animal bones","animal bones","",""
"Animal Bone","獣骨(ウマ?)",0,"horse (Equus ferus) animal bones","horse (Equus ferus) animal bones","",""
"Animal Bone","獣骨（中柄）",0,"animal bones mid sized","animal bones","mid sized",""
"Animal Bone","獣骨(歯)",0,"animal bones tooth","animal bones","tooth",""
"Animal Bone","獣骨（歯）",0,"animal bones tooth","animal bones","tooth",""
"Animal Bone","獣骨片",0,"animal bones bone fragment","animal bones","bone fragment",""
"Animal Bone","絶滅大型シカ脛骨",0,"deer (Cervidae) tibia","deer (Cervidae)","tibia",""
"Animal Bone","臼歯(ナウマンゾウ)",0,"horse (Equus ferus) molar tooth","horse (Equus ferus)","molar tooth",""
"Animal Bone","象の臼歯",0,"elephant (Elephantidae spp. Palaeoloxodon?) molar tooth","elephant (Elephantidae spp. Palaeoloxodon?)","molar tooth",""
"Animal Bone","馬歯",0,"horse (Equus ferus) tooth","horse (Equus ferus)","tooth",""
"Animal Bone","馬歯 切歯",0,"horse (Equus ferus) tooth","horse (Equus ferus)","tooth",""
"Animal Bone","馬骨",0,"horse (Equus ferus)","horse (Equus ferus)","",""
"Animal Bone","馬骨 左脛骨片",0,"horse (Equus ferus) left tibia bone fragment","horse (Equus ferus)","left tibia bone fragment",""
"Animal Bone","馬骨 骨コラーゲン",0,"horse (Equus ferus) collogen","horse (Equus ferus)","collogen",""
"Animal Bone","馬骨(右尺骨･橈骨)",0,"horse (Equus ferus) right radius ulna","horse (Equus ferus)","right radius ulna",""
"Animal Bone","骨",1,"bone indet.","","",""
"Animal Bone","骨,イノシシ,",0,"wild boar (Sus scrofa)","wild boar (Sus scrofa)","",""
"Animal Bone","骨,イノシシ,右橈骨",0,"wild boar (Sus scrofa) right radius","wild boar (Sus scrofa)","right radius",""
"Animal Bone","骨,イノシシ,右踵骨",0,"wild boar (Sus scrofa) right calcaneus​","wild boar (Sus scrofa)","right calcaneus​",""
"Animal Bone","骨,シカ,右下上腕骨",0,"deer (Cervidae) right humerus","deer (Cervidae)","right humerus",""
"Animal Bone","骨,シカ,右大腿骨",0,"deer (Cervidae) right femur","deer (Cervidae)","right femur",""
"Animal Bone","骨,シカ,右距骨",0,"deer (Cervidae) right","deer (Cervidae)","right",""
"Animal Bone","骨,シカ,右踵骨",0,"deer (Cervidae) right calcaneus​","deer (Cervidae)","right calcaneus​",""
"Animal Bone","骨,シカ,基節骨",0,"deer (Cervidae) proximal phlange","deer (Cervidae)","proximal phlange",""
"Animal Bone","骨,シカ,左距骨",0,"deer (Cervidae) left","deer (Cervidae)","left",""
"Animal Bone","骨,シカ,距骨R",0,"deer (Cervidae)","deer (Cervidae)","",""
"Animal Bone","骨,獣骨,LM",0,"animal bones","animal bones","",""
"Animal Bone","骨,獣骨,SM",0,"animal bones","animal bones","",""
"Animal Bone","骨,獣骨,不明",0,"animal bones","animal bones","",""
"Animal Bone","骨(イヌ)",0,"dog (Canis lupus familiaris )","dog (Canis lupus familiaris )","",""
"Animal Bone","骨(イヌ右下顎骨)",0,"dog (Canis lupus familiaris ) right manidble","dog (Canis lupus familiaris )","right manidble",""
"Animal Bone","骨(イヌ右尺骨)",0,"dog (Canis lupus familiaris ) right ulna","dog (Canis lupus familiaris )","right ulna",""
"Animal Bone","骨(イヌ左尺骨)",0,"dog (Canis lupus familiaris ) left ulna","dog (Canis lupus familiaris )","left ulna",""
"Animal Bone","骨(イヌ左距骨)",0,"dog (Canis lupus familiaris ) left","dog (Canis lupus familiaris )","left",""
"Animal Bone","骨(イヌ肋骨)",0,"dog (Canis lupus familiaris ) rib","dog (Canis lupus familiaris )","rib",""
"Animal Bone","骨(イヌ軸椎)",0,"dog (Canis lupus familiaris ) axis vertebra","dog (Canis lupus familiaris )","axis vertebra",""
"Animal Bone","骨(イノシシ)",0,"wild boar (Sus scrofa)","wild boar (Sus scrofa)","",""
"Animal Bone","骨(ウシ)",0,"cattle (Bos taurus)","cattle (Bos taurus)","",""
"Animal Bone","骨(ウシ右下顎骨)",0,"cattle (Bos taurus) right manidble","cattle (Bos taurus)","right manidble",""
"Animal Bone","骨(ウシ右中足骨)",0,"cattle (Bos taurus) right metatarsal","cattle (Bos taurus)","right metatarsal",""
"Animal Bone","骨(ウシ右肩甲骨)",0,"cattle (Bos taurus) right scapula","cattle (Bos taurus)","right scapula",""
