"MaterialTypeUniqueID","Material_Classification","Material_Details_JPN","Material_Details_EN","inconsistent"
32,"Animal Bone","イヌ 大腿骨 左",NA,FALSE
33,"Animal Bone","イヌ 環椎",NA,FALSE
34,"Animal Bone","イヌ 腰椎",NA,FALSE
39,"Animal Bone","イヌ上腕骨",NA,FALSE
40,"Animal Bone","イヌ下顎骨",NA,FALSE
49,"Animal Bone","イノシシ 下顎骨",NA,FALSE
50,"Animal Bone","イノシシ 下顎骨 右",NA,FALSE
51,"Animal Bone","イノシシ 右下顎骨･第三後臼歯",NA,FALSE
52,"Animal Bone","イノシシ 右橈骨",NA,FALSE
53,"Animal Bone","イノシシ 右第三後臼歯",NA,FALSE
54,"Animal Bone","イノシシ 右第二後臼歯",NA,FALSE
55,"Animal Bone","イノシシの歯",NA,FALSE
56,"Animal Bone","イノシシ中足骨",NA,FALSE
59,"Animal Bone","ウサギ歯",NA,FALSE
60,"Animal Bone","ウマ(上顎歯:歯の内部のエナメル質)",NA,FALSE
61,"Animal Bone","ウマの臼歯",NA,FALSE
62,"Animal Bone","ウマ臼歯",NA,FALSE
63,"Animal Bone","ウマ臼歯 上顎歯牙",NA,FALSE
64,"Animal Bone","ウマ臼歯 左上顎歯牙",NA,FALSE
99,"Animal Bone","カモ亜科 烏口骨",NA,FALSE
105,"Animal Bone","カワハギ科腰帯",NA,FALSE
106,"Animal Bone","ガン亜科 上腕 左",NA,FALSE
118,"Animal Bone","クマ 中手/中足",NA,FALSE
119,"Animal Bone","クマ 大腿骨 右 遠位",NA,FALSE
120,"Animal Bone","クマ犬歯",NA,FALSE
157,"Animal Bone","シカ 下顎骨 右",NA,FALSE
158,"Animal Bone","シカ 右大腿骨",NA,FALSE
159,"Animal Bone","シカ(右前頭骨)",NA,FALSE
160,"Animal Bone","シカの歯",NA,FALSE
161,"Animal Bone","シカの角",NA,FALSE
162,"Animal Bone","シカ大腿骨",NA,FALSE
163,"Animal Bone","シカ角",NA,FALSE
164,"Animal Bone","シカ距骨",NA,FALSE
165,"Animal Bone","シカ頸椎骨",NA,FALSE
192,"Animal Bone","タヌキ下顎骨",NA,FALSE
220,"Animal Bone","ナウマン象 骨化石",NA,FALSE
225,"Animal Bone","ニホンジカ 大腿骨",NA,FALSE
226,"Animal Bone","ニホンジカまたはニホンイノシシ下顎骨下端部",NA,FALSE
227,"Animal Bone","ニホンジカ上顎骨",NA,FALSE
228,"Animal Bone","ニホンジカ肩甲骨",NA,FALSE
229,"Animal Bone","ニホンジカ角",NA,FALSE
230,"Animal Bone","ニホンジカ足根骨",NA,FALSE
233,"Animal Bone","ネコ脛骨",NA,FALSE
276,"Animal Bone","ブタ第2後臼歯",NA,FALSE
306,"Animal Bone","ヤベオオツノジカ",NA,FALSE
375,"Animal Bone","偶蹄類臼歯",NA,FALSE
388,"Animal Bone","動物歯牙（キツネ下顎犬歯）",NA,FALSE
389,"Animal Bone","動物遺存体 ウマ 右大腿骨骨頭",NA,FALSE
390,"Animal Bone","動物骨",NA,FALSE
392,"Animal Bone","動物骨(シカ中手骨)",NA,FALSE
393,"Animal Bone","動物骨片",NA,FALSE
400,"Animal Bone","哺乳類四肢骨骨幹部",NA,FALSE
401,"Animal Bone","四肢骨片(ウシ）",NA,FALSE
1498,"Animal Bone","歯（シカ）",NA,FALSE
2600,"Animal Bone","焼骨 哺乳類 四肢骨",NA,FALSE
2601,"Animal Bone","焼骨(哺乳類)",NA,FALSE
2603,"Animal Bone","牛歯",NA,FALSE
2604,"Animal Bone","牛科獣類の臼歯",NA,FALSE
2606,"Animal Bone","獣骨",NA,FALSE
2607,"Animal Bone","獣骨(ウマ?)",NA,FALSE
2608,"Animal Bone","獣骨（中柄）",NA,FALSE
2609,"Animal Bone","獣骨(歯)",NA,FALSE
