MaterialTypeUniqueID,Material_Classification,Material_Details_JPN,inconsistent,Materials_Details_EN,Materials_Detail_Identification_EN,Materials_Detail_Other_EN,Materials_Detail_Notes_EN
32,Animal Bone,イヌ 大腿骨 左,0,dog (Canis lupus familiaris ) left femur,dog (Canis lupus familiaris ),left femur,
33,Animal Bone,イヌ 環椎,0,dog (Canis lupus familiaris ) vertebra vertebra,dog (Canis lupus familiaris ),vertebra vertebra,
34,Animal Bone,イヌ 腰椎,0,dog (Canis lupus familiaris ) lumbar vertebra vertebra,dog (Canis lupus familiaris ),lumbar vertebra vertebra,
39,Animal Bone,イヌ上腕骨,0,dog (Canis lupus familiaris ) humerus,dog (Canis lupus familiaris ),humerus,
40,Animal Bone,イヌ下顎骨,0,dog (Canis lupus familiaris ) manidble,dog (Canis lupus familiaris ),manidble,
49,Animal Bone,イノシシ 下顎骨,0,wild boar (Sus scrofa) manidble,wild boar (Sus scrofa),manidble,
50,Animal Bone,イノシシ 下顎骨 右,0,wild boar (Sus scrofa) right manidble,wild boar (Sus scrofa),right manidble,
51,Animal Bone,イノシシ 右下顎骨･第三後臼歯,0,wild boar (Sus scrofa) right manidble 3rd molar tooth,wild boar (Sus scrofa),right manidble 3rd molar tooth,
52,Animal Bone,イノシシ 右橈骨,0,wild boar (Sus scrofa) right radius,wild boar (Sus scrofa),right radius,
53,Animal Bone,イノシシ 右第三後臼歯,0,wild boar (Sus scrofa) right 3rd molar tooth,wild boar (Sus scrofa),right 3rd molar tooth,
54,Animal Bone,イノシシ 右第二後臼歯,0,wild boar (Sus scrofa) right 2nd molar tooth,wild boar (Sus scrofa),right 2nd molar tooth,
55,Animal Bone,イノシシの歯,0,wild boar (Sus scrofa) tooth,wild boar (Sus scrofa),tooth,
56,Animal Bone,イノシシ中足骨,0,wild boar (Sus scrofa) metatarsal,wild boar (Sus scrofa),metatarsal,
59,Animal Bone,ウサギ歯,0,"hare, amami rabbit, pika etc (Lagomorph) tooth","hare, amami rabbit, pika etc (Lagomorph)",tooth,
60,Animal Bone,ウマ(上顎歯:歯の内部のエナメル質),0,horse (Equus ferus) upper jaw tooth,horse (Equus ferus),upper jaw tooth,
61,Animal Bone,ウマの臼歯,0,horse (Equus ferus) molar tooth,horse (Equus ferus),molar tooth,
62,Animal Bone,ウマ臼歯,0,horse (Equus ferus) molar tooth,horse (Equus ferus),molar tooth,
63,Animal Bone,ウマ臼歯 上顎歯牙,0,horse (Equus ferus) upper jaw molar tooth,horse (Equus ferus),upper jaw molar tooth,
64,Animal Bone,ウマ臼歯 左上顎歯牙,0,horse (Equus ferus) left upper jaw molar tooth,horse (Equus ferus),left upper jaw molar tooth,
99,Animal Bone,カモ亜科 烏口骨,0,duck (Anatidae etc) coracoid,duck (Anatidae etc),coracoid,
105,Animal Bone,カワハギ科腰帯,0,filefish (Monacanthidae ?Stephanolepis cirrhifer) pelvic girdle,filefish (Monacanthidae ?Stephanolepis cirrhifer),pelvic girdle,
106,Animal Bone,ガン亜科 上腕 左,0,geese (Anserinae) left humerus,geese (Anserinae),left humerus,
118,Animal Bone,クマ 中手/中足,0,bear (Ursidae) phlanges metatarsal,bear (Ursidae),phlanges metatarsal,
119,Animal Bone,クマ 大腿骨 右 遠位,0,bear (Ursidae) right femur,bear (Ursidae),right femur,
120,Animal Bone,クマ犬歯,0,bear (Ursidae) canine tooth,bear (Ursidae),canine tooth,
157,Animal Bone,シカ 下顎骨 右,0,deer (Cervidae) right manidble,deer (Cervidae),right manidble,
158,Animal Bone,シカ 右大腿骨,0,deer (Cervidae) right femur,deer (Cervidae),right femur,
159,Animal Bone,シカ(右前頭骨),0,deer (Cervidae) right skull frontal cranium,deer (Cervidae),right skull frontal cranium,
160,Animal Bone,シカの歯,0,deer (Cervidae) tooth,deer (Cervidae),tooth,
161,Animal Bone,シカの角,0,deer (Cervidae) antler/horn,deer (Cervidae),antler/horn,
162,Animal Bone,シカ大腿骨,0,deer (Cervidae) femur,deer (Cervidae),femur,
163,Animal Bone,シカ角,0,deer (Cervidae) antler/horn,deer (Cervidae),antler/horn,
164,Animal Bone,シカ距骨,0,deer (Cervidae),deer (Cervidae),,
165,Animal Bone,シカ頸椎骨,0,deer (Cervidae) cervical vertebra vertebra,deer (Cervidae),cervical vertebra vertebra,
192,Animal Bone,タヌキ下顎骨,0,raccoon dog (Nyctereutes procyonoides) manidble,raccoon dog (Nyctereutes procyonoides),manidble,
220,Animal Bone,ナウマン象 骨化石,0,elephant (Elephantidae spp. Palaeoloxodon?) fossil bone,elephant (Elephantidae spp. Palaeoloxodon?),fossil bone,
225,Animal Bone,ニホンジカ 大腿骨,0,sika deer (Cervus nippon) femur,sika deer (Cervus nippon),femur,
226,Animal Bone,ニホンジカまたはニホンイノシシ下顎骨下端部,0,wild boar (Sus scrofa) sika deer (Cervus nippon) manidble,wild boar (Sus scrofa) sika deer (Cervus nippon),manidble,
227,Animal Bone,ニホンジカ上顎骨,0,sika deer (Cervus nippon) upper jaw,sika deer (Cervus nippon),upper jaw,
228,Animal Bone,ニホンジカ肩甲骨,0,sika deer (Cervus nippon) scapula,sika deer (Cervus nippon),scapula,
229,Animal Bone,ニホンジカ角,0,sika deer (Cervus nippon) antler/horn,sika deer (Cervus nippon),antler/horn,
230,Animal Bone,ニホンジカ足根骨,0,sika deer (Cervus nippon) tarsus,sika deer (Cervus nippon),tarsus,
233,Animal Bone,ネコ脛骨,0,"cat (Felis, Prionailurus) tibia","cat (Felis, Prionailurus)",tibia,
276,Animal Bone,ブタ第2後臼歯,0,pig (Sus scrofa domesticus) molar tooth,pig (Sus scrofa domesticus),molar tooth,
306,Animal Bone,ヤベオオツノジカ,0,Megloceros type deer (Sinomegaceros yabei),Megloceros type deer (Sinomegaceros yabei),,
375,Animal Bone,偶蹄類臼歯,0,even-toe ungulate (Artiodactyla) molar tooth,even-toe ungulate (Artiodactyla),molar tooth,
388,Animal Bone,動物歯牙（キツネ下顎犬歯）,0,fox (Vulpes vulpes) canine tooth,fox (Vulpes vulpes),canine tooth,
389,Animal Bone,動物遺存体 ウマ 右大腿骨骨頭,0,horse (Equus ferus) right femur,horse (Equus ferus),right femur,
390,Animal Bone,動物骨,0,animal indet.,animal indet.,,
392,Animal Bone,動物骨(シカ中手骨),0,deer (Cervidae) animal indet. phlanges,deer (Cervidae) animal indet.,phlanges,
393,Animal Bone,動物骨片,0,animal indet. bone fragment,animal indet.,bone fragment,
400,Animal Bone,哺乳類四肢骨骨幹部,0,mammal indet. limb bone,mammal indet.,limb bone,
401,Animal Bone,四肢骨片(ウシ）,0,cattle (Bos taurus) limb bone bone fragment,cattle (Bos taurus),limb bone bone fragment,
1498,Animal Bone,歯（シカ）,0,deer (Cervidae) tooth,deer (Cervidae),tooth,
2600,Animal Bone,焼骨 哺乳類 四肢骨,0,mammal indet. cremated limb bone,mammal indet.,cremated limb bone,
2601,Animal Bone,焼骨(哺乳類),0,mammal indet. cremated,mammal indet.,cremated,
2603,Animal Bone,牛歯,0,cattle (Bos taurus) tooth,cattle (Bos taurus),tooth,
2604,Animal Bone,牛科獣類の臼歯,0,cattle (Bos taurus) molar tooth,cattle (Bos taurus),molar tooth,
2606,Animal Bone,獣骨,0,animal bones,animal bones,,
2607,Animal Bone,獣骨(ウマ?),0,horse (Equus ferus) animal bones,horse (Equus ferus) animal bones,,
2608,Animal Bone,獣骨（中柄）,0,animal bones mid sized,animal bones,mid sized,
2609,Animal Bone,獣骨(歯),0,animal bones tooth,animal bones,tooth,
2610,Animal Bone,獣骨（歯）,0,animal bones tooth,animal bones,tooth,
2611,Animal Bone,獣骨片,0,animal bones bone fragment,animal bones,bone fragment,
3075,Animal Bone,絶滅大型シカ脛骨,0,deer (Cervidae) tibia,deer (Cervidae),tibia,
3134,Animal Bone,臼歯(ナウマンゾウ),0,horse (Equus ferus) molar tooth,horse (Equus ferus),molar tooth,
3154,Animal Bone,象の臼歯,0,elephant (Elephantidae spp. Palaeoloxodon?) molar tooth,elephant (Elephantidae spp. Palaeoloxodon?),molar tooth,
3302,Animal Bone,馬歯,0,horse (Equus ferus) tooth,horse (Equus ferus),tooth,
3303,Animal Bone,馬歯 切歯,0,horse (Equus ferus) tooth,horse (Equus ferus),tooth,
3304,Animal Bone,馬骨,0,horse (Equus ferus),horse (Equus ferus),,
3305,Animal Bone,馬骨 左脛骨片,0,horse (Equus ferus) left tibia bone fragment,horse (Equus ferus),left tibia bone fragment,
3306,Animal Bone,馬骨 骨コラーゲン,0,horse (Equus ferus) collogen,horse (Equus ferus),collogen,
3307,Animal Bone,馬骨(右尺骨･橈骨),0,horse (Equus ferus) right radius ulna,horse (Equus ferus),right radius ulna,
3308,Animal Bone,骨,1,bone indet.,,,
3310,Animal Bone,"骨,イノシシ,",0,wild boar (Sus scrofa),wild boar (Sus scrofa),,
3311,Animal Bone,"骨,イノシシ,右橈骨",0,wild boar (Sus scrofa) right radius,wild boar (Sus scrofa),right radius,
3312,Animal Bone,"骨,イノシシ,右踵骨",0,wild boar (Sus scrofa) right calcaneus​,wild boar (Sus scrofa),right calcaneus​,
3319,Animal Bone,"骨,シカ,右下上腕骨",0,deer (Cervidae) right humerus,deer (Cervidae),right humerus,
3320,Animal Bone,"骨,シカ,右大腿骨",0,deer (Cervidae) right femur,deer (Cervidae),right femur,
3321,Animal Bone,"骨,シカ,右距骨",0,deer (Cervidae) right,deer (Cervidae),right,
3322,Animal Bone,"骨,シカ,右踵骨",0,deer (Cervidae) right calcaneus​,deer (Cervidae),right calcaneus​,
3323,Animal Bone,"骨,シカ,基節骨",0,deer (Cervidae) proximal phlange,deer (Cervidae),proximal phlange,
3324,Animal Bone,"骨,シカ,左距骨",0,deer (Cervidae) left,deer (Cervidae),left,
3325,Animal Bone,"骨,シカ,距骨R",0,deer (Cervidae),deer (Cervidae),,
3345,Animal Bone,"骨,獣骨,LM",0,animal bones,animal bones,,
3346,Animal Bone,"骨,獣骨,SM",0,animal bones,animal bones,,
3347,Animal Bone,"骨,獣骨,不明",0,animal bones,animal bones,,
3350,Animal Bone,骨(イヌ),0,dog (Canis lupus familiaris ),dog (Canis lupus familiaris ),,
3351,Animal Bone,骨(イヌ右下顎骨),0,dog (Canis lupus familiaris ) right manidble,dog (Canis lupus familiaris ),right manidble,
3352,Animal Bone,骨(イヌ右尺骨),0,dog (Canis lupus familiaris ) right ulna,dog (Canis lupus familiaris ),right ulna,
3353,Animal Bone,骨(イヌ左尺骨),0,dog (Canis lupus familiaris ) left ulna,dog (Canis lupus familiaris ),left ulna,
3354,Animal Bone,骨(イヌ左距骨),0,dog (Canis lupus familiaris ) left,dog (Canis lupus familiaris ),left,
3355,Animal Bone,骨(イヌ肋骨),0,dog (Canis lupus familiaris ) rib,dog (Canis lupus familiaris ),rib,
3356,Animal Bone,骨(イヌ軸椎),0,dog (Canis lupus familiaris ) axis vertebra,dog (Canis lupus familiaris ),axis vertebra,
3357,Animal Bone,骨(イノシシ),0,wild boar (Sus scrofa),wild boar (Sus scrofa),,
3358,Animal Bone,骨(ウシ),0,cattle (Bos taurus),cattle (Bos taurus),,
3359,Animal Bone,骨(ウシ右下顎骨),0,cattle (Bos taurus) right manidble,cattle (Bos taurus),right manidble,
3360,Animal Bone,骨(ウシ右中足骨),0,cattle (Bos taurus) right metatarsal,cattle (Bos taurus),right metatarsal,
3361,Animal Bone,骨(ウシ右肩甲骨),0,cattle (Bos taurus) right scapula,cattle (Bos taurus),right scapula,
3362,Animal Bone,骨(ウシ左上腕骨),0,cattle (Bos taurus) left humerus,cattle (Bos taurus),left humerus,
3363,Animal Bone,骨(ウシ左下顎骨),0,cattle (Bos taurus) left manidble,cattle (Bos taurus),left manidble,
3364,Animal Bone,骨(ウシ左肩甲骨),0,cattle (Bos taurus) left scapula,cattle (Bos taurus),left scapula,
3365,Animal Bone,骨(ウマ),0,horse (Equus ferus),horse (Equus ferus),,
3366,Animal Bone,骨(ウマ仙椎),0,horse (Equus ferus) sacral vertebra,horse (Equus ferus),sacral vertebra,
3367,Animal Bone,骨(ウマ右下顎骨),0,horse (Equus ferus) right manidble,horse (Equus ferus),right manidble,
3368,Animal Bone,骨(ウマ右肩甲骨,0,horse (Equus ferus) right scapula,horse (Equus ferus),right scapula,
3369,Animal Bone,骨(ウマ右脛骨),0,horse (Equus ferus) right tibia,horse (Equus ferus),right tibia,
3370,Animal Bone,骨(ウマ右距骨),0,horse (Equus ferus) right,horse (Equus ferus),right,
3371,Animal Bone,骨(ウマ左中手骨),0,horse (Equus ferus) left phlanges,horse (Equus ferus),left phlanges,
3372,Animal Bone,骨(ウマ左橈骨),0,horse (Equus ferus) left radius,horse (Equus ferus),left radius,
3373,Animal Bone,骨(ウマ左肩甲骨),0,horse (Equus ferus) left scapula,horse (Equus ferus),left scapula,
3374,Animal Bone,骨(ウマ左距骨),0,horse (Equus ferus) left,horse (Equus ferus),left,
3375,Animal Bone,骨(コラーゲン)(牛),0,cattle (Bos taurus) collogen,cattle (Bos taurus),collogen,
3376,Animal Bone,骨(コラーゲン)(馬歯),0,horse (Equus ferus) tooth collogen,horse (Equus ferus),tooth collogen,
3377,Animal Bone,骨(シカ？),0,deer (Cervidae),deer (Cervidae),,
3378,Animal Bone,骨(シカ),0,deer (Cervidae),deer (Cervidae),,
3379,Animal Bone,骨（シカ右上顎後臼歯）,0,deer (Cervidae) right upper jaw molar tooth,deer (Cervidae),right upper jaw molar tooth,
3380,Animal Bone,骨(シカ右下顎後臼歯),0,deer (Cervidae) right molar tooth,deer (Cervidae),right molar tooth,
3381,Animal Bone,骨（シカ右下顎骨）,0,deer (Cervidae) right manidble,deer (Cervidae),right manidble,
3382,Animal Bone,骨（シカ右前頭骨～角）,0,deer (Cervidae) right skull frontal cranium antler/horn,deer (Cervidae),right skull frontal cranium antler/horn,
3383,Animal Bone,骨(シカ右肩甲骨),0,deer (Cervidae) right scapula,deer (Cervidae),right scapula,
3384,Animal Bone,骨(シカ左下顎骨),0,deer (Cervidae) left manidble,deer (Cervidae),left manidble,
3385,Animal Bone,骨（シカ左下顎骨）,0,deer (Cervidae) left manidble,deer (Cervidae),left manidble,
3386,Animal Bone,骨(シカ左肩甲骨),0,deer (Cervidae) left scapula,deer (Cervidae),left scapula,
3387,Animal Bone,骨（シカ左脛骨遠位端),0,deer (Cervidae) left tibia,deer (Cervidae),left tibia,
3388,Animal Bone,骨(シカ左距骨),0,deer (Cervidae) left,deer (Cervidae),left,
3389,Animal Bone,骨(ニホンジカ),0,sika deer (Cervus nippon),sika deer (Cervus nippon),,
3390,Animal Bone,骨(ネコ左上腕骨),0,"cat (Felis, Prionailurus) left humerus","cat (Felis, Prionailurus)",left humerus,
3391,Animal Bone,骨(ネコ左下顎骨),0,"cat (Felis, Prionailurus) left manidble","cat (Felis, Prionailurus)",left manidble,
3392,Animal Bone,骨（ヒグマ）頸骨,0,brown bear (Ursus arctos) cervical vertebra,brown bear (Ursus arctos),cervical vertebra,Ursus thibetanus japonicus is the Japanese black bear - Ursus arctos lasiotus is the Japanese brown bear or Ezo bear restricted to Hokkaido and Kunashiri
3408,Animal Bone,骨(歯) ウマ 歯牙片,0,horse (Equus ferus) tooth,horse (Equus ferus),tooth,
3413,Animal Bone,骨片,1,bone fragment,,bone fragment,
3414,Animal Bone,骨片(動物骨),0,animal indet. bone fragment,animal indet.,bone fragment,
195,Charred Remain,トクサ,0,Horsetail (Equisetum sp.),Horsetail (Equisetum sp.),,
314,Charred Remain,ワラ状炭化物,0,carbonized straw material,,carbonized straw material,
341,Charred Remain,亜炭？,0,Lignite?,,Lignite?,
372,Charred Remain,住居内採取炭化物 炭化材（クリ）,0,carbonized material material chestnut (Castanea crenata),chestnut (Castanea crenata),carbonized material material,
394,Charred Remain,単子葉植物(イネ科),0,plant monocotyledonous Poaceae,monocotyledonous Poaceae,plant,
395,Charred Remain,単子葉植物茎,0,plant stem monocotyledonous,monocotyledonous,plant stem,
733,Charred Remain,土壌(炭化物混じりの粘土)･炭化材(スダジイ),0,Clay soil with charcoal / Charred Castanopis sieboldi,Itajii tree (Castanopis sieboldi),carbonized material soil material clay,
758,Charred Remain,土混じり木炭片,0,Soil mixed with charcoal fragments,,charcoal charred pieces,
760,Charred Remain,地下茎(クワイ),0,rhizome stem three-leaf arrowhead (Sagittaria trifolia),three-leaf arrowhead (Sagittaria trifolia),rhizome stem,
871,Charred Remain,木本炭化物,0,Wood charcoal?,,carbonized material woody,
875,Charred Remain,木材,1,material wood,,material wood,
