"MaterialTypeUniqueID","Material_Classification","Material_Details_JPN","inconsistent","Materials_Details_EN","Materials_Detail_Identification_EN","Materials_Detail_Other_EN","Materials_Detail_Notes_EN"
548,"Organic Residue from Pottery","土器付着物,焦,口縁内面",0,"from pottery rim interior residue inside of","","from pottery rim interior residue inside of",""
594,"Organic Residue from Pottery","土器付着物,煤,口縁内面",0,"from pottery soot rim interior residue inside of","","from pottery soot rim interior residue inside of",""
537,"Organic Residue from Pottery","土器付着物,焦,",0,"from pottery residue","","from pottery residue",""
600,"Organic Residue from Pottery","土器付着物,煤,口縁外面",0,"from pottery soot rim exterior outside edge residue","","from pottery soot rim exterior outside edge residue",""
574,"Organic Residue from Pottery","土器付着物,焦,胴部内面",0,"from pottery interior residue body","","from pottery interior residue body",""
555,"Organic Residue from Pottery","土器付着物,焦,底部内面",0,"from pottery interior residue bottom","","from pottery interior residue bottom",""
624,"Organic Residue from Pottery","土器付着物,煤,胴部上位・外面",0,"from pottery soot exterior residue body upper","","from pottery soot exterior residue body upper",""
629,"Organic Residue from Pottery","土器付着物,煤,胴部中位・外面",0,"from pottery soot exterior residue body","","from pottery soot exterior residue body",""
611,"Organic Residue from Pottery","土器付着物,煤,胴上位・外面",0,"from pottery soot exterior residue upper","","from pottery soot exterior residue upper",""
481,"Organic Residue from Pottery","土器付着物,内面",0,"from pottery interior residue","","from pottery interior residue",""
610,"Organic Residue from Pottery","土器付着物,煤,底部外面",0,"from pottery soot exterior residue bottom outer neck","","from pottery soot exterior residue bottom outer neck",""
627,"Organic Residue from Pottery","土器付着物,煤,胴部下位・外面",0,"from pottery soot exterior residue body lower","","from pottery soot exterior residue body lower",""
602,"Organic Residue from Pottery","土器付着物,煤,口縁部～胴部上位・外面",0,"from pottery soot rim exterior residue body upper","","from pottery soot rim exterior residue body upper",""
636,"Organic Residue from Pottery","土器付着物,煤,胴部破片",0,"from pottery soot residue body","","from pottery soot residue body",""
528,"Organic Residue from Pottery","土器付着物,底部下位・外面",0,"from pottery exterior residue bottom lower","","from pottery exterior residue bottom lower",""
608,"Organic Residue from Pottery","土器付着物,煤,底部下位・外面",0,"from pottery soot exterior residue bottom lower","","from pottery soot exterior residue bottom lower",""
635,"Organic Residue from Pottery","土器付着物,煤,胴部外面破片",0,"from pottery soot exterior residue body outer neck","","from pottery soot exterior residue body outer neck",""
588,"Organic Residue from Pottery","土器付着物,煮焦げ,脚部内面",0,"from pottery interior residue","","from pottery interior residue",""
637,"Organic Residue from Pottery","土器付着物,煤,胴部破片・外面",0,"from pottery soot exterior residue body","","from pottery soot exterior residue body",""
623,"Organic Residue from Pottery","土器付着物,煤,胴部上位〜中位・外面",0,"from pottery soot exterior residue body upper","","from pottery soot exterior residue body upper",""
601,"Organic Residue from Pottery","土器付着物,煤,口縁部・外面",0,"from pottery soot rim exterior residue","","from pottery soot rim exterior residue",""
523,"Organic Residue from Pottery","土器付着物,壺棺スス,胴部上半外面",0,"from pottery exterior soot residue body","","from pottery exterior soot residue body",""
2933,"Charred Remain","種実,コメ,",1,"seed/nuts rice (Oryza sativa)","rice (Oryza sativa)","seed/nuts",""
2933,"Charred Remain","種実,コメ,",1,"seed/nuts rice (Oryza sativa)","rice (Oryza sativa)","seed/nuts",""
2909,"Seed","種実,アカメガシワ,",0,"seed/nuts Japanese mallotus (Mallotus japonicus)","Japanese mallotus (Mallotus japonicus)","seed/nuts",""
2913,"Seed","種実,エゴノキ,",0,"seed/nuts snowbell tree (Styrax japonica)","snowbell tree (Styrax japonica)","seed/nuts",""
1635,"Charred Remain","炭化材,アカガシ亜種,",0,"carbonized material Japanese evergreen oak (Quercus acuta)","Japanese evergreen oak (Quercus acuta)","carbonized material",""
1666,"Charred Remain","炭化材,木炭,",0,"charcoal carbonized material","","charcoal carbonized material",""
1636,"Charred Remain","炭化材,カエデ属,",0,"carbonized material maple (Acer sp.)","maple (Acer sp.)","carbonized material",""
1639,"Charred Remain","炭化材,クリ,",0,"carbonized material chestnut (Castanea crenata)","chestnut (Castanea crenata)","carbonized material",""
1648,"Charred Remain","炭化材,タケ亜科,",0,"carbonized material bamboo (Bambusoideae)","bamboo (Bambusoideae)","carbonized material",""
1634,"Charred Remain","炭化材,",0,"carbonized material","","carbonized material",""
3156,"Shell","貝,",0,"indet. shellfish","","",""
561,"Organic Residue from Pottery","土器付着物,焦,胴内",0,"from pottery residue inside fabric?","","from pottery residue inside fabric?",""
2945,"Charred Seed","種実,ドングリ,子葉",0,"seed/nuts cotyledon oak (Quercus)","oak (Quercus)","seed/nuts cotyledon",""
595,"Organic Residue from Pottery","土器付着物,煤,口縁外",0,"from pottery soot rim outside edge residue","","from pottery soot rim outside edge residue",""
542,"Organic Residue from Pottery","土器付着物,焦,口縁内",0,"from pottery rim residue inside of","","from pottery rim residue inside of",""
615,"Organic Residue from Pottery","土器付着物,煤,胴外",0,"from pottery soot residue outside","","from pottery soot residue outside",""
596,"Organic Residue from Pottery","土器付着物,煤,口縁外・胴外",0,"from pottery soot rim outside edge residue outside","","from pottery soot rim outside edge residue outside",""
2933,"Charred Seed","種実,コメ,",1,"seed/nuts rice (Oryza sativa)","rice (Oryza sativa)","seed/nuts",""
2933,"Charred Seed","種実,コメ,",1,"seed/nuts rice (Oryza sativa)","rice (Oryza sativa)","seed/nuts",""
878,"Wood","木材，J-Cal",0,"material wood","","material wood",""
597,"Organic Residue from Pottery","土器付着物,煤,口縁外・胴外上",0,"from pottery soot rim outside edge residue outside","","from pottery soot rim outside edge residue outside",""
1522,"Lacquer","漆,底部内面",0,"interior bottom","","interior bottom",""
570,"Organic Residue from Pottery","土器付着物,焦,胴外，胴内",0,"from pottery residue inside fabric? outside","","from pottery residue inside fabric? outside",""
556,"Organic Residue from Pottery","土器付着物,焦，煤,胴内，胴外",0,"from pottery soot residue inside fabric? outside","","from pottery soot residue inside fabric? outside",""
563,"Organic Residue from Pottery","土器付着物,焦,胴内下",0,"from pottery residue inside fabric?","","from pottery residue inside fabric?",""
562,"Organic Residue from Pottery","土器付着物,焦,胴内上",0,"from pottery residue inside fabric?","","from pottery residue inside fabric?",""
543,"Organic Residue from Pottery","土器付着物,焦,口縁内・胴内上",0,"from pottery rim residue inside of inside fabric?","","from pottery rim residue inside of inside fabric?",""
566,"Organic Residue from Pottery","土器付着物,焦,胴内中",0,"from pottery residue inside fabric?","","from pottery residue inside fabric?",""
549,"Organic Residue from Pottery","土器付着物,焦,口縁外",0,"from pottery rim outside edge residue","","from pottery rim outside edge residue",""
500,"Organic Residue from Pottery","土器付着物,吹,口縁外",0,"from pottery rim outside edge residue","","from pottery rim outside edge residue",""
1529,"Lacquer","漆,漆膜,",0,"Lacquer coating","","",""
2927,"Charred Seed","種実,クルミ,",1,"seed/nuts walnut (Juglans)","walnut (Juglans)","seed/nuts",""
2927,"Charred Seed","種実,クルミ,",1,"seed/nuts walnut (Juglans)","walnut (Juglans)","seed/nuts",""
486,"Organic Residue from Pottery","土器付着物,口縁外",0,"from pottery rim outside edge residue","","from pottery rim outside edge residue",""
1664,"Charred Remain","炭化材,外側",0,"charcoal outermost - ring or bark?","","carbonized material",""
1032,"Wood","木材,木胎部",0,"material wood","","material wood",""
1517,"Lacquer","漆,",0,"Lacquer coating","","",""
877,"Wood","木材,",0,"material wood","","material wood",""
2928,"Seed","種実,クルミ,半分",0,"seed/nuts walnut (Juglans)","walnut (Juglans)","seed/nuts",""
2957,"Seed","種実,モモ,",0,"seed/nuts peach (Amygdalus persica syn. Prunus)","peach (Amygdalus persica syn. Prunus)","seed/nuts",""
2927,"Seed","種実,クルミ,",1,"seed/nuts walnut (Juglans)","walnut (Juglans)","seed/nuts",""
2927,"Seed","種実,クルミ,",1,"seed/nuts walnut (Juglans)","walnut (Juglans)","seed/nuts",""
529,"Organic Residue from Pottery","土器付着物,底部内面",0,"from pottery interior residue bottom","","from pottery interior residue bottom",""
657,"Organic Residue from Pottery","土器付着物,胴上外",0,"from pottery residue","","from pottery residue",""
3320,"Animal Bone","骨,シカ,右大腿骨",0,"deer (Cervidae) right femur","deer (Cervidae)","right femur",""
3311,"Animal Bone","骨,イノシシ,右橈骨",0,"wild boar (Sus scrofa) right radius","wild boar (Sus scrofa)","right radius",""
3327,"Fish bone","骨,スズキ,右主鰓蓋骨",0,"Japanese sea bass (Lateolabrax japonicus) right gill bone","Japanese sea bass (Lateolabrax japonicus)","right gill bone",""
3328,"Fish bone","骨,スズキ,左主鰓蓋骨",0,"Japanese sea bass (Lateolabrax japonicus) left gill bone","Japanese sea bass (Lateolabrax japonicus)","left gill bone",""
3177,"Shell","貝,ホタテガイ,破片",0,"Japanese scallop (Mizuhopecten (syn. Patinopecten) yessoensis)","","",""
3157,"Shell","貝,アサリ,",0,"Asari (Ruditapes philippinarum)","","",""
3178,"Shell","貝,マガキ,",0,"Pacific oyster (Crassostrea gigas)​","","",""
3182,"Shell","貝,ヤマトシジミ,",0,"basket clam (Corbicula japonica) basket clam (Corbiculidae spp.)","","",""
2918,"Charred Remain","種実,オニグルミ,核",1,"seed/nuts walnut (Juglans ailanthifolia)","walnut (Juglans ailanthifolia)","seed/nuts",""
2918,"Charred Remain","種実,オニグルミ,核",1,"seed/nuts walnut (Juglans ailanthifolia)","walnut (Juglans ailanthifolia)","seed/nuts",""
2918,"Charred Remain","種実,オニグルミ,核",1,"seed/nuts walnut (Juglans ailanthifolia)","walnut (Juglans ailanthifolia)","seed/nuts",""
2925,"Charred Seed","種実,クリ,子葉1/4",0,"seed/nuts cotyledon chestnut (Castanea crenata)","chestnut (Castanea crenata)","seed/nuts cotyledon",""
2948,"Charred Seed","種実,ヒエ属,",0,"seed/nuts barnyard millet (Echinochloa)","barnyard millet (Echinochloa)","seed/nuts",""
620,"Organic Residue from Pottery","土器付着物,煤,胴外中",0,"from pottery soot residue outside","","from pottery soot residue outside",""
2947,"Seed","種実,ニワトコ,",0,"seed/nuts Elderberry (Sambucus sp.)","Elderberry (Sambucus sp.)","seed/nuts",""
557,"Organic Residue from Pottery","土器付着物,焦,胴下内",0,"from pottery residue","","from pottery residue",""
1645,"Charred Remain","炭化材,クリ?,部位不明",0,"unknown carbonized material chestnut (Castanea crenata)","chestnut (Castanea crenata)","unknown carbonized material",""
568,"Organic Residue from Pottery","土器付着物,焦,胴内面",0,"from pottery interior residue inside fabric?","","from pottery interior residue inside fabric?",""
622,"Organic Residue from Pottery","土器付着物,煤,胴外面",0,"from pottery soot exterior residue outside","","from pottery soot exterior residue outside",""
177,"Other unknown samples","その他,不明,",0,"unknown","","unknown",""
2916,"Seed","種実,オニグルミ,",1,"seed/nuts walnut (Juglans ailanthifolia)","walnut (Juglans ailanthifolia)","seed/nuts",""
2916,"Seed","種実,オニグルミ,",1,"seed/nuts walnut (Juglans ailanthifolia)","walnut (Juglans ailanthifolia)","seed/nuts",""
883,"Wood","木材，ウイグルマッチング，0",0,"material wood C14 wiggle matching sample","","material wood C14 wiggle matching sample",""
890,"Wood","木材，ウイグルマッチング，20",0,"material wood C14 wiggle matching sample","","material wood C14 wiggle matching sample",""
896,"Wood","木材，ウイグルマッチング，40",0,"material wood C14 wiggle matching sample","","material wood C14 wiggle matching sample",""
901,"Wood","木材，ウイグルマッチング，70",0,"material wood C14 wiggle matching sample","","material wood C14 wiggle matching sample",""
887,"Wood","木材，ウイグルマッチング，10",0,"material wood C14 wiggle matching sample","","material wood C14 wiggle matching sample",""
892,"Wood","木材，ウイグルマッチング，30",0,"material wood C14 wiggle matching sample","","material wood C14 wiggle matching sample",""
881,"Wood","木材，ウイグルマッチング，-30",0,"material wood C14 wiggle matching sample","","material wood C14 wiggle matching sample",""
899,"Wood","木材，ウイグルマッチング，50",0,"material wood C14 wiggle matching sample","","material wood C14 wiggle matching sample",""
1652,"Charred Remain","炭化材,不明",0,"unknown carbonized material","","unknown carbonized material",""
619,"Organic Residue from Pottery","土器付着物,煤,胴外下",0,"from pottery soot residue outside","","from pottery soot residue outside",""
1644,"Charred Remain","炭化材,クリ?,",0,"carbonized material chestnut (Castanea crenata)","chestnut (Castanea crenata)","carbonized material",""
