Code,PeriodCodeEn
C,Yayoi
D,Kofun
"C,D",Yayoi ~ Kofun
"B,C",Jomon ~ Yayoi
B,Jomon
"G,H",Early Modern ~ Modern
I,Epi-Jomon
E,Classical
A,Palaeolithic
H,Modern
"E,F",Classical ~ Medieval
K,Okhotsk Culture
L,Ainu Culture
"I,J,K,L",Epi-Jomon ~ Ainu Culture
J,Satsumon Culture
"B,I",Jomon ~ Epi-Jomon
F,Medieval
"A,B,C,D,E,F,G,H",Palaeolithic ~ Modern
"B,C,D",Jomon ~ Kofun
"N,O",Middle Shell Mound ~ Late Shell Mound
"M,N,O,P,Q",Early Shell Mound ~ Ryuku Kingdom
"A,B,C,D",Palaeolithic ~ Kofun
"D,F",Kofun ~ Medieval
"F,G",Medieval ~ Early Modern
G,Early Modern
"D,E",Kofun ~ Classical
"D,E,F,G,H",Kofun ~ Modern
"A,B,C,D,E,F,G",Palaeolithic ~ Early Modern
"B,C,D,E,F,G,H",Jomon ~ Modern
"B,E",Jomon; Classical
"E,F,G,H",Classical ~ Modern
"F,G,H",Medieval ~ Modern
"E,F,G",Classical ~ Early Modern
"B,D",Jomon; Kofun
"A,B",Palaeolithic ~ Jomon
"A,B,C",Palaeolithic ~ Yayoi
"B,C,D,E,F,G",Jomon ~ Early Modern
"B,C,D,E,F",Jomon ~ Medieval
"C,D,E",Yayoi ~ Classical
"A,B,C,D,E",Palaeolithic ~ Classical
"B,F",Jomon; Medieval
" A,B,C,D,E",Palaeolithic ~ Classical
"A,B,C,D,D,F",Palaeolithic ~ Medieval
"B,C,D,E",Jomon ~ Classical
"D,F,G",Kofun ~ Early Modern
"D,E,F",Kofun ~ Medieval
"C,D,E,F",Yayoi ~ Medieval
"A,B,C,D,E,F",Palaeolithic ~ Medieval
"C,F",Yayoi ~ Medieval
"C,E,F",Yayoi ~ Medieval
"E,G",Classical; Early Modern
"C,D,E,F,G",Yayoi ~ Early Modern
"C,E",Yayoi ~ Classical
不明,Unknown
"D,E,F,G",Kofun ~ Early Modern
"C,D,E,F,G,H",Yayoi ~ Modern
"B,C,G",Jomon ~ Early Modern
M,Early Shell Mound
"M,N,O",Early Shell Mound ~ Late Shell Mound
"L,G",Ainu Culture ~ Early Modern
"I,J",Epi-Jomon ~ Satsumon Culture
"B,I,J",Jomon ~ Satsumon Culture
"B,I,J,K,L",Jomon ~ Ainu Culture
"B,I,J,K,L,G,H",Jomon ~ Modern
"A,B,I,J,K,L",Palaeolithic ~ Ainu Culture
"B,I,K,K<l",Jomon
"J,K,L,G,H",Satsumon Culture ~ Modern
"A,B,I",Palaeolithic ~ Epi-Jomon
"J,K,L",Satsumon Culture ~ Ainu Culture
"B,J,K,L",Jomon ~ Ainu Culture
"J,L",Satsumon Culture; Ainu Culture
E.F,Classical ~ Medieval
"B,C,E,F",Jomon ~ Medieval
