"Period","PeriodEN"
"弥生時代後期","Late Yayoi"
"古墳時代","Kofun  "
"弥生時代","Yayoi"
"弥生時代中期中葉","Middle Yayoi [Middle]"
"弥生時代中期初頭","Middle Yayoi [Initial]"
"要確認",NA
"弥生時代Ⅱ末〜Ⅲ初","Yayoi I [Final] o III [Initial]"
"縄文時代晩期～弥生時代前期","Final Jomon - Early Yayoi "
"縄文時代中期","Middle Jomon"
"弥生時代中期","Middle Yayoi"
"弥生時代前期","Early Yayoi"
"縄文時代晩期","Final Jomon "
NA,NA
"縄文時代早期","Initial Jomon "
"縄文時代後期","Late Jomon "
"古墳時代中期","Middle Kofun  "
"弥生時代前期〜中期","Early Yayoi - Middle Yayoi"
"古墳時代中期～後期","Middle Kofun - Late Kofun "
"縄文時代前期","Early Jomon"
"縄文時代","Jomon"
"不明","NA  "
"続縄文時代","Epi-Jomon"
"縄文時代前期～中期","Early Jomon - Middle Jomon"
"古墳時代前期","Early Kofun"
"古代","Classical"
"旧石器時代","Palaeolithic"
"弥生時代前期前葉～中頃","Early Yayoi [Early - Middle ca.] "
"弥生時代早期後半","Initial Yayoi [Second Half] "
"弥生時代前期末","Early Yayoi [Final]"
"弥生時代前期末～中期初","Early Yayoi [Final] - Middle Yayoi [Initial]"
"縄文時代草創期","Incipient Jomon "
"現代","Present"
"弥生時代早期","Initial Yayoi "
"弥生時代前期～中期","Early Yayoi - Middle Yayoi"
"縄文時代晩期末","Final Jomon [Final]"
"縄文時代晩期～弥生時代早期","Final Jomon - Initial Yayoi "
"平安時代～鎌倉時代","Heian - Kamakura"
"縄文時代後期末","Late Jomon [Final]"
"縄文時代後期後半","Late Jomon [Second Half]"
"弥生時代中期後半〜後期","Middle Yayoi [Second Half] to Late Yayoi"
"弥生時代中期後半","Middle Yayoi [Second Half]"
"弥生時代前期初頭","Early Yayoi [Initial]"
"弥生時代前期中頃","Early Yayoi [ca. Middle]"
"弥生時代前期後半","Early Yayoi [Second Half]"
"弥生時代前期後半～末","Early Yayoi [Second Half - Final] "
"弥生時代前期中ごろ","Early Yayoi [ca. Middle]"
"弥生時代早期前半","Initial Yayoi [First Half]"
"オホーツク文化期","Okhotsk Culture Period "
"近世アイヌ","Early Modern Ainu"
"縄文時代後期中頃","Late Jomon [Middle ca.]"
"縄文時代後期前葉","Late Jomon [Early]"
"擦文時代晩期","Final Satsumon "
"擦文時代早期","Initial Satsumon "
"擦文時代中期","Middle Satsumon "
"擦文時代前期～中期","Early Satsumon - Middle Satsumon "
"縄文時代晩期～続縄文時代","Final Jomon - Epi-Jomon"
"擦文時代前期","Early Satsumon "
"弥生時代前半","Yayoi [First Half]"
"中世","Medieval"
"最終氷期","Last Glacial Period"
"後期更新世","Late Pleistocene"
"弥生時代終末","Yayoi [Final]"
