JpNames,Translation,Region
愛知,Aichi,Chubu
岐阜,Gifu,Chubu
秋田,Akita,Tohoku
石川,Ishikawa,Chubu
青森,Aomori,Tohoku
千葉,Chiba,Kanto
愛媛,Ehime,Shikoku
佐賀,Saga,Kyushu
福岡,Fukuoka,Kyushu
宮崎,Miyazaki,Kyushu
高知,Kochi,Shikoku
大分,Oita,Kyushu
長崎,Nagasaki,Kyushu
熊本,Kumamoto,Kyushu
広島,Hiroshima,Chugoku
福井,Fukui,Chubu
群馬,Gunma,Kanto
北海道,Hokkaido,Hokkaido
福島,Fukushima,Tohoku
神奈川,Kanagawa,Kanto
兵庫,Hyogo,Kansai
茨城,Ibaraki,Kanto
岩手,Iwate,Tohoku
鹿児島,Kagoshima,Kyushu
香川,Kagawa,Shikoku
京都,Kyoto,Kansai
三重,Mie,Kansai
宮城,Miyagi,Tohoku
新潟,Niigata,Chubu
長野,Nagano,Chubu
奈良,Nara,Kansai
東京,Tokyo,Kanto
岡山,Okayama,Chugoku
沖縄,Okinawa,Kyushu
大阪,Osaka,Kansai
富山,Toyama,Chubu
鳥取,Tottori,Chugoku
埼玉,Saitama,Kanto
滋賀,Shiga,Kansai
島根,Shimane,Chugoku
静岡,Shizuoka,Chubu
栃木,Tochigi,Kanto
徳島,Tokushima,Shikoku
山形,Yamagata,Tohoku
山梨,Yamanashi,Chubu
和歌山,Wakayama,Kansai
山口,Yamaguchi,Chugoku
