SiteName,Furigana,ToCheck,Alternative
古館堤頭Ⅱ遺跡,ふるだてつつみがしら2いせき,FALSE,
風張(1)遺跡,かざはり(1)いせき,FALSE,
史跡垂柳遺跡,しせきたれやなぎいせき,FALSE,
米山(2)遺跡,よねやま(2)いせき,FALSE,
上場西遺跡（に接する低地）,さんないさなべ(3)いせき,FALSE,
川原平(1)遺跡,かわらたいら(1)いせき,FALSE,
三内丸山(9)遺跡,さんないまるやま(9)いせき,FALSE,
富ノ沢(2)遺跡,とみのさわ(2)いせき,FALSE,
根井沼(3)遺跡,ねいぬま(3)いせき,FALSE,
羽黒館グランド遺跡,はぐろかんぐらんどいせき,FALSE,
森ケ沢遺跡,もりがわさいせき,FALSE,
取掛西貝塚(5),とりかけにしかいづか(5),FALSE,
米倉・大境遺跡,よねくらおおざかいいせき,FALSE,
荒海貝塚,あらみかいづか,FALSE,
大坪貝塚,おおつぼかいづか,FALSE,
古込Ⅴ遺跡,ふるごめ5いせき,FALSE,
上黒岩遺跡,かみくろいわいせき,FALSE,
上黒岩周辺,かみくろいわしゅうへん,FALSE,
礫石B遺跡,つぶていしBいせき,FALSE,
貫川西遺跡,ぬきかわにしいせき,FALSE,
曰佐遺跡1次,おさいせき1じ,FALSE,
那珂君休遺跡4次,なかくんりゅういせき4じ,FALSE,
高畑遺跡18次,たかばたいせき18じ,FALSE,
屏風谷遺跡,びょうぶだにいせき,FALSE,
貫川5遺跡,ぬきかわ5いせき,FALSE,
貫川2遺跡,ぬきかわ2いせき,FALSE,
貫川7遺跡,ぬきかわ7いせき,FALSE,
貫川10遺跡,ぬきかわ10いせき,FALSE,
菜畑遺跡,なばたけいせき,FALSE,
権現脇遺跡,ごんげんわきいせき,FALSE,
大分川採集資料,おおいたがわさいしゅしりょう,FALSE,
玉名平野条里跡遺跡,たまなへいやじょうりあといせき,FALSE,
上之塚古墳,じょうのづかこふん,FALSE,
雀居遺跡4次,ささいいせき4じ,FALSE,
福重稲木2次,ふくしげいなぎじ２じ,FALSE,
免,めん,FALSE,
力武内畑遺跡7次,りきたけうちはたいせき7じ,FALSE,
松木田遺跡,まつきだいせき,FALSE,
寺地川遺跡,てらじがわいせき,FALSE,
富田清友遺跡,とみだきよともいせき,FALSE,
花ノ湖遺跡,はなのこいせき,FALSE,
大草遺跡,おおくさいせき,FALSE,
伊達市有珠4遺跡,だてしうす4いせき,FALSE,
有珠ポンマ遺跡,うすぽんまいせき,FALSE,
天寧1遺跡,てんねる1いせき,FALSE,
下谷ヶ地平C遺跡,しもやかぢだいらCいせき,FALSE,
岩下A1次遺跡,いわしたA1じいせき,FALSE,
羽白C1次遺跡,はじろしC1じいせき,FALSE,
神奈川県足柄下郡箱根町,かながわけんあしがらしもぐんはこねちょう,FALSE,
安芸国分寺跡,あきこくぶんじあと,FALSE,
本山遺跡,もとやまいせき,FALSE,
垂水日向遺跡,たるみひゅうがいせき,FALSE,
岩屋遺跡,いわやいせき,FALSE,
東武庫遺跡,いがしむこいせき,FALSE,
花室川,はなむろがわ,FALSE,
丸子館遺跡,まるこだていせき,FALSE,
大長野A遺跡,おおながのAいせき,FALSE,
乾A遺跡,いぬいAいせき,FALSE,
長谷堂遺跡,はせいどういせき,FALSE,
湯舟沢遺跡,ゆぶねざわいせき,FALSE,
薬師堂の古墳,やくしじどうのこふん,FALSE,
広田遺跡2005年調査,ひろたいせき2005ねんちょうさ,FALSE,
万福寺No.1遺跡,まんぷくじNo.わんいせき,FALSE,
湯屋原遺跡,ゆやばるいせき,FALSE,
屋久川遺跡,やくがわいせき,FALSE,
礼田崎貝塚,れいたさきかいづか,FALSE,
