MaterialType,Taxa
"土器付着物,煤,口縁内面",
"土器付着物,焦,",
"土器付着物,煤,口縁外面",
"土器付着物,焦,胴部内面",
"土器付着物,焦,底部内面",
"土器付着物,煤,胴部上位・外面",
"土器付着物,煤,胴部中位・外面",
"土器付着物,煤,胴上位・外面",
"土器付着物,内面",
"土器付着物,煤,底部外面",
"土器付着物,煤,胴部下位・外面",
"土器付着物,煤,口縁部～胴部上位・外面",
"土器付着物,煤,胴部破片",
"土器付着物,底部下位・外面",
"土器付着物,煤,底部下位・外面",
"土器付着物,煤,胴部外面破片",
"土器付着物,煮焦げ,脚部内面",
"土器付着物,煤,胴部破片・外面",
"土器付着物,煤,胴部上位〜中位・外面",
"土器付着物,煤,口縁部・外面",
"土器付着物,壺棺スス,胴部上半外面",
"種実,コメ,",Oryza sativa
"種実,アカメガシワ,",Mallotus japonicus
"種実,エゴノキ,",Styrax japonicus
"炭化材,アカガシ亜種,",Quercus acuta
"炭化材,木炭,",
"炭化材,カエデ属,",Acer sp.
"炭化材,クリ,",Castanea crenata
"炭化材,タケ亜科,",Bambusoideae
"炭化材,",
"貝,",Mollusca
"土器付着物,焦,胴内",
"種実,ドングリ,子葉",Quercoideae (Quercus / Castanopsis / Lithocarpus / Cyclobalanopsis)
"土器付着物,煤,口縁外",
"土器付着物,焦,口縁内",
"土器付着物,煤,胴外",
"土器付着物,煤,口縁外・胴外",
木材，J-Cal,
"土器付着物,煤,口縁外・胴外上",
"漆,底部内面",
"土器付着物,焦,胴外，胴内",
"土器付着物,焦，煤,胴内，胴外",
"土器付着物,焦,胴内下",
"土器付着物,焦,胴内上",
"土器付着物,焦,口縁内・胴内上",
"土器付着物,焦,胴内中",
"土器付着物,焦,口縁外",
"土器付着物,吹,口縁外",
"漆,漆膜,",
"種実,クルミ,",Juglans sp.
"土器付着物,口縁外",
"炭化材,外側",
"木材,木胎部",
"漆,",
"木材,",
"種実,クルミ,半分",Juglans sp.
"種実,モモ,",Prunus persica
"土器付着物,底部内面",
"土器付着物,胴上外",
"骨,シカ,右大腿骨",Cervidae
"骨,イノシシ,右橈骨",Sus scrofa
"骨,スズキ,右主鰓蓋骨",Lateolabrax japonicus
"骨,スズキ,左主鰓蓋骨",Lateolabrax japonicus
"貝,ホタテガイ,破片",Mizuhopecten yessoensis
"貝,アサリ,",Lajonkairia lajonkairii
"貝,マガキ,",Crassostrea gigas
"貝,ヤマトシジミ,",Corbicula japonica 
"種実,オニグルミ,核",Juglans mandshurica
"種実,クリ,子葉1/4",Castanea crenata
"種実,ヒエ属,",Echinochloa sp.
"土器付着物,煤,胴外中",
"種実,ニワトコ,",Sambucus sieboldiana
"土器付着物,焦,胴下内",
"炭化材,クリ?,部位不明",Castanea crenata
"土器付着物,焦,胴内面",
"土器付着物,煤,胴外面",
"土器付着物,焦,口縁内面",
"その他,不明,",
"種実,オニグルミ,",Juglans mandshurica
木材，ウイグルマッチング，0,
木材，ウイグルマッチング，20,
木材，ウイグルマッチング，40,
木材，ウイグルマッチング，70,
木材，ウイグルマッチング，10,
木材，ウイグルマッチング，30,
木材，ウイグルマッチング，-30,
木材，ウイグルマッチング，50,
"炭化材,不明",
"土器付着物,煤,胴外下",
"炭化材,クリ?,",Castanea crenata
"炭化材,クヌギ節,",Quercus section Cerris [acutissima]
"炭化材,炭化物,",
"種実,オオムギ,",Hordeum vulgare
"炭化材,網代状繊維,",
"炭化材,最外1年輪",
"炭化材,外から10年輪",
"炭化材,外から20年輪",
"貝,シジミ,",Corbiculidae
"種実,モモ,核",Prunus persica
"種実,クリ,",Castanea crenata
"漆,胴内",
"漆,生漆,底部内面",
"土器付着物,煤,胴外上",
"土器付着物,口縁部下面・外面",
"土器付着物,胴部上位外面",
"土器付着物,口縁部外面",
"土器付着物,胴部上位・外面",
"土器付着物,胴部中位・外面",
"土器付着物,頸部外面",
"土器付着物,口縁下外面",
