"LabCode","Prefecture","Region","SiteNameJp","SiteNameEn","SiteType","Latitude","Longitude","CRA","CRAError","UnroundedCRAError","UnroundedCRA","Delta13C","Delta13CError","Delta13CIRMS","DatingMethod","Material","MaterialDetails","MaterialTaxa","NabunkenURL","Reference"
"PLD-8766","Aichi","Chubu","鹿乗川遺跡群","Kanorigawaikiisekigun","Site Cluster",34.9425611111111,137.08975,2040,160,NA,NA,-27.39,1.08,NA,"AMS法","Other","Organic Residue from Pottery",NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)"
"PLD-8685","Aichi","Chubu","朝日遺跡","Asahiiseki","Site",NA,NA,2030,20,NA,NA,-20.58,0.18,-21.2,"AMS法","Other","Organic Residue from Pottery",NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)"
"PLD-8686","Aichi","Chubu","朝日遺跡","Asahiiseki","Site",NA,NA,2055,20,NA,NA,-24.75,0.18,-23.8,"AMS法","Other","Organic Residue from Pottery",NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)"
"PLD-8687","Aichi","Chubu","朝日遺跡","Asahiiseki","Site",NA,NA,2040,20,NA,NA,-13.77,0.22,-13.3,"AMS法","Other","Organic Residue from Pottery",NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)"
"PLD-8688","Aichi","Chubu","朝日遺跡","Asahiiseki","Site",NA,NA,1990,20,NA,NA,-19.1,0.16,-12.2,"AMS法","Other","Organic Residue from Pottery",NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)"
"PLD-8689","Aichi","Chubu","朝日遺跡","Asahiiseki","Site",NA,NA,2245,20,NA,NA,-11.67,0.18,-11.8,"AMS法","Other","Organic Residue from Pottery",NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)"
"PLD-8690","Aichi","Chubu","朝日遺跡","Asahiiseki","Site",NA,NA,1970,20,NA,NA,-25.97,0.17,-26,"AMS法","Other","Organic Residue from Pottery",NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)"
"PLD-8691","Aichi","Chubu","朝日遺跡","Asahiiseki","Site",NA,NA,1960,25,NA,NA,-25.87,0.17,-25.8,"AMS法","Other","Organic Residue from Pottery",NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)"
"PLD-8692","Aichi","Chubu","朝日遺跡","Asahiiseki","Site",NA,NA,2230,20,NA,NA,-24.42,0.19,-25.2,"AMS法","Other","Organic Residue from Pottery",NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)"
"PLD-8693","Aichi","Chubu","朝日遺跡","Asahiiseki","Site",NA,NA,2155,20,NA,NA,-19.26,0.19,-20.1,"AMS法","Other","Organic Residue from Pottery",NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)"
"PLD-8694","Aichi","Chubu","朝日遺跡","Asahiiseki","Site",NA,NA,2155,20,NA,NA,-13.09,0.19,-12.6,"AMS法","Other","Organic Residue from Pottery",NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)"
"PLD-8695","Aichi","Chubu","朝日遺跡","Asahiiseki","Site",NA,NA,2185,20,NA,NA,-17.84,0.19,-17,"AMS法","Other","Organic Residue from Pottery",NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)"
"PLD-8696","Aichi","Chubu","朝日遺跡","Asahiiseki","Site",NA,NA,2155,25,NA,NA,-27.77,0.19,-26.5,"AMS法","Other","Organic Residue from Pottery",NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)"
"PLD-8794","Aichi","Chubu","朝日遺跡","Asahiiseki","Site",NA,NA,1915,20,NA,NA,-16.16,0.26,NA,"AMS法","Other","Organic Residue from Pottery",NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)"
"PLD-8697","Aichi","Chubu","朝日遺跡","Asahiiseki","Site",NA,NA,2285,20,NA,NA,-16.05,0.16,-16.3,"AMS法","Other","Organic Residue from Pottery",NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)"
"PLD-8698","Aichi","Chubu","朝日遺跡","Asahiiseki","Site",NA,NA,2175,20,NA,NA,-26.1,0.18,-26.9,"AMS法","Other","Organic Residue from Pottery",NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)"
"PLD-8699","Aichi","Chubu","朝日遺跡","Asahiiseki","Site",NA,NA,2240,20,NA,NA,-27.1,0.19,-26,"AMS法","Other","Organic Residue from Pottery",NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)"
"PLD-8700","Aichi","Chubu","朝日遺跡","Asahiiseki","Site",NA,NA,2130,20,NA,NA,-17.63,0.2,-16.8,"AMS法","Other","Organic Residue from Pottery",NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)"
"PLD-8701","Aichi","Chubu","朝日遺跡","Asahiiseki","Site",NA,NA,2265,20,NA,NA,-15.55,0.19,-14.1,"AMS法","Other","Organic Residue from Pottery",NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)"
"PLD-8702","Aichi","Chubu","朝日遺跡","Asahiiseki","Site",NA,NA,2145,25,NA,NA,-21.35,0.17,-23.9,"AMS法","Other","Organic Residue from Pottery",NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)"
"PLD-8703","Aichi","Chubu","朝日遺跡","Asahiiseki","Site",NA,NA,2315,20,NA,NA,-22.8,0.17,-21.8,"AMS法","Other","Organic Residue from Pottery",NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)"
"PLD-8795","Aichi","Chubu","朝日遺跡","Asahiiseki","Site",NA,NA,2240,20,NA,NA,-23.11,0.25,-23.7,"AMS法","Other","Organic Residue from Pottery",NA,NA,"国立歴史民俗博物館, 2009, 弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書, (pp.139-524)||財団法人愛知県教育･スポーツ振興財団愛知県埋蔵文化財センター, 2009, 愛知県埋蔵文化財センター調査報告書第154集　朝日遺蹟Ⅷ　総集編, (pp.138-148)"
