"SiteLocation","Latitude.gmap","Longitude.gmap"
"安城市安城町・古井町他",34.934549,137.0948078
"名古屋市西区中沼町・浮野町他",35.223865,136.8585931
"名古屋市西区中沼町",35.223865,136.8585931
"豊橋市牛川町字西側",34.7824337,137.4153445
"一宮市馬見塚",35.2924427,136.821046
"各務原市鵜沼町中炉畑杉跡６４８他",35.3946701,136.8949723
"各務原市那加桐野町３，６丁目",35.4225967,136.8173015
"名古屋市北区中丸町３丁目他",35.2050453,136.9055662
"名古屋市北区平手町1丁目",35.2027338,136.9022312
"一宮市千秋町",35.3004271,136.855564
"春日井市松河戸町",35.2207109,136.9647234
"一宮市萩原町富田方字山中・大和田苅安賀",35.288311,136.7681038
"名古屋市守山区大字牛牧・高島町・小幡中3丁目",35.2067796,136.9726162
"豊田市広川町８丁目、９丁目地内",35.0830944,137.1782604
"にかほ市",39.2030128,139.9077246
"鹿角市十和田錦木字下野",40.2516183,140.7758165
"山本郡三種町森岳",40.08625,140.0786667
"能代市字柏子所",40.1721565,140.0430326
"北秋田郡森吉町森吉字砕渕",40.0372637,140.6128155
"由利郡象潟町大砂川字カクチタ",39.1587962,139.9064761
"平鹿郡山内村土淵字虫内",37.4004776,140.3596822
"秋田市添川字戸平川",39.7529735,140.1447621
"河辺郡河辺町畑谷字岱",39.6376793,140.1775833
"河辺郡雄和町椿川字奥椿岱",39.6246742,140.1824797
"北秋田郡森吉町森吉字日廻岱",40.0372637,140.6128155
"北秋田郡森吉町森吉字向様田家ノ下モ8",40.0372637,140.6128155
"仙北郡千畑町土崎字中屋敷180-1",39.4601282,140.5703447
"鹿島郡中能登町",36.9886503,136.9016194
"青森市大字安田",40.8034975,140.7114728
"八戸市大字是川字中居",40.4736788,141.4900518
"八戸市大字是川字えぞ森7-60,40-1他",40.4512526,141.4932865
"八戸市是川字一王寺、中居",40.4719908,141.4865294
"弘前市大字三和字下池神",40.7282433,140.3959236
"八戸市大字田向冷水",40.4889515,141.510084
"南津軽郡田舎舘村大字垂柳字大面・松立・長田ほか",40.6322079,140.5655979
"南津軽郡田舎舘村大字高樋字大曲63ほか",40.633222,140.5776167
"上北郡東北町大字大浦字東道ノ上",40.7021107,141.2724353
"青森市大字宮田字米山",40.8439734,140.8515027
"青森市大字三内字沢部",40.8153375,140.691883
"八戸市大字是川字楢館",40.4770543,141.5056085
"中津軽郡西目屋村大字川原平字福岡116-47外",40.5230288,140.2264679
"青森市大字三内字丸山",40.804904,140.6905326
"八戸市大字是川字潟野",40.4777486,141.4880334
"上北郡六ヶ所村",40.9673406,141.3744879
"八戸市大字是川字新田8-6外",40.4804701,141.4917822
"八戸市南郷大字島守",40.3989136,141.4960202
"三沢市大字三沢字早稲田5",40.7512763,141.3745027
"南津軽郡大鰐町",40.517942,140.5686345
"上北郡天間林村",40.8312126,141.1799647
"名古屋市熱田区玉の井町９０６番地他",35.1312225,136.9061726
"船橋市飯山満町一丁目1381番2ほか",35.7164939,140.0125158
"佐倉市宮内字井戸作218-1他",35.6399344,140.2437609
"香取郡多古町島字塙台2861ほか",35.7228122,140.4695879
"八日市場市",35.7043795,140.5614451
"千葉市若葉区桜木8丁目33番1号他",35.6237245,140.1651916
"市川市堀之内2丁目",35.7579489,139.9129859
"君津市三直字新関",35.3199267,139.9392531
"八千代市島田台間見穴924他",35.7655047,140.0893883
"成田市荒海",35.8321272,140.3249631
"野田市清水字貝塚552ほか",35.9583577,139.8548409
"佐倉市六崎字外出1070-1",35.7007155,140.228306
"富津市亀田字大坪",35.2594969,139.8713663
"佐倉市太田字長作1147-3",35.6926864,140.2167174
"印西市戸神字棚田",35.7882174,140.1176606
"銚子市南小川町",35.7208277,140.8365288
"富里市七栄480-4,5,15",35.7420076,140.3190989
"松山市西長戸・安城町",33.8688219,132.7417097
"今治市阿方",34.0646613,132.9684523
"上浮穴郡久万高原町",33.6288072,132.9806087
"松山市太山寺町甲４９６－４９８他",33.8868895,132.7247156
"松山市南江戸４丁目７番地他",33.8380538,132.7437992
"神埼市大字志波屋・鶴・田道ケ里/吉野ヶ里町大字田手・大曲",33.3423453,130.4070544
"佐賀郡大和町大字久池井字野口",33.3283293,130.2833315
"京都郡苅田町大字白川字葛川",33.7479597,130.9473283
"行橋市大字下稗田・前田地区",33.7049492,130.9512926
"北九州市小倉北区",33.8880229,130.8677469
"北九州市小倉南区",33.8107405,130.8980767
"福岡市南区",33.5421157,130.4210684
"福岡市博多区板付2丁目13-13",33.5657145,130.4542732
"福岡市博多区雀居（福岡空港西側地区）",33.5809794,130.4459033
"福岡市博多区那珂４丁目２９７番地",33.5709397,130.44463
"福岡市博多区板付６丁目１番１号他",33.5577455,130.4570239
"都城市上水流町４２０１番地他",31.8046828,131.0948277
"土佐市高岡町乙居徳他",33.5053627,133.4187128
"北九州市小倉南区下貫２丁目他",33.8173278,130.935335
"北九州市小倉南区大字長野",33.8126603,130.9107094
"北九州市小倉南区大字石田９０１－１",33.8187211,130.8832298
"日田市大字大肥字方司口他",33.362409,130.870275
"小城郡三日月町大字石木",33.274361,130.200243
"福岡市博多区博多駅南４丁目１１－３５他",33.5810524,130.4288685
"唐津市菜畑字松円寺山",33.4487404,129.9579022
"南島原市深江町戉",32.7267399,130.3394854
"大分市大字玉沢字楠本743-2",33.188317,131.578306
"大分市",33.2396084,131.6095148
"大村市黒丸町・沖田町",32.9547487,129.9337338
"長崎市深堀町５丁目",32.685868,129.8225387
"佐世保市愛宕町・中里町",33.2008295,129.6918017
"北松浦郡田平町里免",33.3604654,129.5924357
"壱岐市芦辺町他",33.8028693,129.7588152
"熊本市護藤町・美登里町",32.7478181,130.6676749
"玉名市上小田",32.9544781,130.5965967
"玉名市両迫間１５８－２ほか９筆",32.9385859,130.5800839
"筑後市大字上北島塚ノ本",33.1957484,130.4936331
"筑後市大字古島字榎崎４７０他",33.1986729,130.4726368
"福岡市南区井尻１丁目１１１－１他",33.5548709,130.4408098
"東広島市西条町下見字黄幡４２７６番３",34.41483,132.7216
"三方上中群若狭町脇袋字霜ノ下",35.4700117,135.8707338
"小浜市府中",35.4962622,135.7651309
"三方上中郡若狭町鳥浜",35.5561894,135.9004039
"福岡市博多区大字雀居正フリ川",33.5809794,130.4459033
"福岡市西区福重４丁目283-6",33.5715228,130.323538
"福岡市早良区賀茂",33.5513028,130.340761
"小郡市力武字前畑１１０５－２他",33.41685,130.5699199
"福岡市西区大字今津字小浦他",33.6056091,130.2474208
"福岡市早良区早良３丁目地内",33.509561,130.332788
"福岡市西区拾六町２７－２他",33.5656216,130.3101388
"小郡市三国が丘７丁目",33.4331604,130.5664256
"福岡市早良区有田・小田部・南庄地区",33.5613318,130.3331069
"大飯郡おおい町",35.4821283,135.6173548
"揖斐郡藤橋村大字戸入字村ノ内",35.6873346,136.4056745
"美濃加茂市下米田町則光",35.462927,137.0716844
"恵那市",35.4492931,137.4128453
"中津川市坂下町",35.5756387,137.5177229
"土岐市",35.3525643,137.1834224
"安中市中野谷字松原",36.2870819,138.8573491
"吾妻郡東吾妻町",36.5710917,138.8258407
"吾妻郡中之条町",36.589992,138.8409472
"網走市北2条東",44.0257362,144.2679601
"伊達市有珠町３６番地他",42.5152534,140.7887967
"亀田郡戸井町",34.5526908,135.5711993
"虻田郡洞爺湖町入江",42.5358854,140.7819412
"伊達市有珠町８３－２他",42.5189411,140.7879443
"礼文郡礼文町大字船泊字ホロナイホ２７０－３、２７２－１、２７２－１１",45.4156923,141.0182916
"釧路郡釧路町字別保原野南22線47外",43.0143592,144.4343792
"函館市臼尻町５９５－６",41.9304036,140.9401326
