"PrefectureCode","Prefecture","SiteName","SiteLocation","SamplingLocation","MaterialType","MaterialCode1","MaterialCode2","Period","Phase","PeriodCode","LabCode","Method","CRA","CRAError","UnroundedCRA","UnroundedCRAError","Delta13C","Delta13CError","Delta13CIRMS","AnalysedBy","Laboratory","PubblicationYear","ReportTitle","Page","Remarks","Reference","Publisher","Latitude","Longitude","ReferenceID","retain","originalRow"
1,"北海道","ユクエピラチャシ跡","足寄郡陸別町トマム","Ⅵ層44A'区　C郭外調査区, No.1","炭化材","T","f","アイヌ文化期",NA,"L","IAAA-880","AMS法",760,120,NA,NA,NA,NA,"-25.7","（株）加速器分析研究所","（株）加速器分析研究所",2007,"第Ⅴ章　分析　第３節　放射性炭素年代測定結果報告","197-198","https://sitereports.nabunken.go.jp/37276","陸別町文化財調査報告　第２集　史跡ユクエピラチャシ跡―平成14～16年度発掘調査報告書―","陸別町教育委員会","43゜28'41.84""","143゜37'54.16""",4811,TRUE,33764
1,"北海道","ユクエピラチャシ跡","足寄郡陸別町トマム","Ⅵ層36X区　B郭外36ライン調査区, No.2","炭化物","T","h","アイヌ文化期",NA,"L","IAAA-880","AMS法",990,100,NA,NA,NA,NA,"-25.3","（株）加速器分析研究所","（株）加速器分析研究所",2007,"第Ⅴ章　分析　第３節　放射性炭素年代測定結果報告","197-198","https://sitereports.nabunken.go.jp/37276","陸別町文化財調査報告　第２集　史跡ユクエピラチャシ跡―平成14～16年度発掘調査報告書―","陸別町教育委員会","43゜28'41.84""","143゜37'54.16""",4811,TRUE,33765
1,"北海道","ユクエピラチャシ跡","足寄郡陸別町トマム","Ⅶ層36X区　B郭外36ライン調査区　下部盛土直上, No.3","炭化物","T","h","アイヌ文化期",NA,"L","IAAA-880","AMS法",860,110,NA,NA,NA,NA,"-25.9","（株）加速器分析研究所","（株）加速器分析研究所",2007,"第Ⅴ章　分析　第３節　放射性炭素年代測定結果報告","197-198","https://sitereports.nabunken.go.jp/37276","陸別町文化財調査報告　第２集　史跡ユクエピラチャシ跡―平成14～16年度発掘調査報告書―","陸別町教育委員会","43゜28'41.84""","143゜37'54.16""",4811,TRUE,33766
1,"北海道","ユクエピラチャシ跡","足寄郡陸別町トマム","Ⅵ層45S区　C郭内, No.4","炭化物","T","h","アイヌ文化期",NA,"L","IAAA-880","AMS法",640,100,NA,NA,NA,NA,"-26.1","（株）加速器分析研究所","（株）加速器分析研究所",2007,"第Ⅴ章　分析　第３節　放射性炭素年代測定結果報告","197-198","https://sitereports.nabunken.go.jp/37276","陸別町文化財調査報告　第２集　史跡ユクエピラチャシ跡―平成14～16年度発掘調査報告書―","陸別町教育委員会","43゜28'41.84""","143゜37'54.16""",4811,TRUE,33767
1,"北海道","ユクエピラチャシ跡","足寄郡陸別町トマム","Ⅶ層45S区　C郭内　盛土第1段階直上, No.5","炭化物","T","h","アイヌ文化期",NA,"L","IAAA-880","AMS法",940,90,NA,NA,NA,NA,"-27.0","（株）加速器分析研究所","（株）加速器分析研究所",2007,"第Ⅴ章　分析　第３節　放射性炭素年代測定結果報告","197-198","https://sitereports.nabunken.go.jp/37276","陸別町文化財調査報告　第２集　史跡ユクエピラチャシ跡―平成14～16年度発掘調査報告書―","陸別町教育委員会","43゜28'41.84""","143゜37'54.16""",4811,TRUE,33768
1,"北海道","ユクエピラチャシ跡","足寄郡陸別町トマム","Ⅵ層43Z区　C郭外調査区, No.6","炭化材","T","f","アイヌ文化期",NA,"L","IAAA-880","AMS法",810,120,NA,NA,NA,NA,"-26.4","（株）加速器分析研究所","（株）加速器分析研究所",2007,"第Ⅴ章　分析　第３節　放射性炭素年代測定結果報告","197-198","https://sitereports.nabunken.go.jp/37276","陸別町文化財調査報告　第２集　史跡ユクエピラチャシ跡―平成14～16年度発掘調査報告書―","陸別町教育委員会","43゜28'41.84""","143゜37'54.16""",4811,TRUE,33769
1,"北海道","ユクエピラチャシ跡","足寄郡陸別町トマム","Ⅶ層43Z区　C郭外調査区　盛土第2段階直上, No.7","炭化物","T","h","アイヌ文化期",NA,"L","IAAA-880","AMS法",1060,90,NA,NA,NA,NA,"-27.1","（株）加速器分析研究所","（株）加速器分析研究所",2007,"第Ⅴ章　分析　第３節　放射性炭素年代測定結果報告","197-198","https://sitereports.nabunken.go.jp/37276","陸別町文化財調査報告　第２集　史跡ユクエピラチャシ跡―平成14～16年度発掘調査報告書―","陸別町教育委員会","43゜28'41.84""","143゜37'54.16""",4811,TRUE,33770
1,"北海道","ユクエピラチャシ跡","足寄郡陸別町トマム","Ⅶ層43X区　C郭外調査区　盛土第1段階直上, No.8","炭化物","T","h","アイヌ文化期",NA,"L","IAAA-880","AMS法",880,90,NA,NA,NA,NA,"-27.1","（株）加速器分析研究所","（株）加速器分析研究所",2007,"第Ⅴ章　分析　第３節　放射性炭素年代測定結果報告","197-198","https://sitereports.nabunken.go.jp/37276","陸別町文化財調査報告　第２集　史跡ユクエピラチャシ跡―平成14～16年度発掘調査報告書―","陸別町教育委員会","43゜28'41.84""","143゜37'54.16""",4811,TRUE,33771
1,"北海道","ユクエピラチャシ跡","足寄郡陸別町トマム","Ⅶ層44A'区　盛土第1段階（C壕堀上土）下部, No.9","炭化物","T","h","アイヌ文化期",NA,"L","IAAA-880","AMS法",770,110,NA,NA,NA,NA,"-25.7","（株）加速器分析研究所","（株）加速器分析研究所",2007,"第Ⅴ章　分析　第３節　放射性炭素年代測定結果報告","197-198","https://sitereports.nabunken.go.jp/37276","陸別町文化財調査報告　第２集　史跡ユクエピラチャシ跡―平成14～16年度発掘調査報告書―","陸別町教育委員会","43゜28'41.84""","143゜37'54.16""",4811,TRUE,33772
1,"北海道","ユクエピラチャシ跡","足寄郡陸別町トマム","Ⅶ層43W区　C郭外調査区　盛土第1段階（B壕堀上土）下部, No.10","炭化物","T","h","アイヌ文化期",NA,"L","IAAA-880","AMS法",770,120,NA,NA,NA,NA,"-25.5","（株）加速器分析研究所","（株）加速器分析研究所",2007,"第Ⅴ章　分析　第３節　放射性炭素年代測定結果報告","197-198","https://sitereports.nabunken.go.jp/37276","陸別町文化財調査報告　第２集　史跡ユクエピラチャシ跡―平成14～16年度発掘調査報告書―","陸別町教育委員会","43゜28'41.84""","143゜37'54.16""",4811,TRUE,33773
