"PrefectureCode","Prefecture","SiteName","SiteLocation","SamplingLocation","MaterialType","MaterialCode1","MaterialCode2","Period","Phase","PeriodCode","LabCode","Method","CRA","CRAError","UnroundedCRA","UnroundedCRAError","Delta13C","Delta13CError","Delta13CIRMS","AnalysedBy","Laboratory","PubblicationYear","ReportTitle","Page","Remarks","Reference","Publisher","Latitude","Longitude","ReferenceID","retain","originalRow"
31,"茨城","おんだし遺跡","大洗町成田町","第2号住居址","炉址内採集土","T","k","縄文時代",NA,"B","不明","β線法",3630,95,NA,NA,NA,NA,NA,"湯原 功(日本核燃料開発会社)","日本放射性同位元素協会",1975,"第2号住居址焼土の年代測定について","143-145",NA,"大洗町文化財調査報告書第5集　茨城県おんだし遺跡","日本核燃料開発会社　茨城県大洗町教育委員会","36゜16'22.22""","140゜32'36.35""",1507,TRUE,4538
31,"茨城","羽黒山遺跡","東茨城郡茨城町大字大戸字宿ノ内","1区包含層　炉穴1","炭化材","T","f","縄文時代早期?",NA,"B","不明","AMS法",1200,20,1200,20,"-27.06 ","0.19 ",NA,"吉田生物研究所","不明",2008,"羽黒山遺跡の放射性炭素年代測定について","157-158",NA,"茨城県教育財団文化財調査報告第293集　羽黒山遺跡2　大戸富士山遺跡2","財団法人 茨城県教育財団","36゜19'19.34""","140゜25'05.41""",3864,TRUE,4539
31,"茨城","羽黒山遺跡","東茨城郡茨城町大字大戸字宿ノ内","1区包含層 H269区","炭化材","T","f","縄文時代早期?",NA,"B","不明","AMS法",2125,20,2127,22,"-26.34 ","0.18 ",NA,"吉田生物研究所","不明",2008,"羽黒山遺跡の放射性炭素年代測定について","157-158",NA,"茨城県教育財団文化財調査報告第293集　羽黒山遺跡2　大戸富士山遺跡2","財団法人 茨城県教育財団","36゜19'19.34""","140゜25'05.41""",3864,TRUE,4540
31,"茨城","村松白根遺跡","那珂郡東海村村松白根","第2号製塩跡釜屋(SH2)","ワラ状炭化物","T","f","中世",NA,"F","不明","AMS法",304,18,NA,NA,NA,NA,NA,"小田寛貴 中村俊夫 三浦太一","名古屋大学年代測定総合研究センター・高エネルギー加速器研究機構",2007,"村松白根遺跡出土遺物の14C年代測定","581-584",NA,"茨城県教育財団文化財調査報告第284集　村松白根遺跡２　下巻","財団法人 茨城県教育財団","36゜27'00.86""","140゜35'15.90""",3863,TRUE,4569
31,"茨城","村松白根遺跡","那珂郡東海村村松白根","第2号製塩跡釜屋(SH2)","木炭","T","f","中世",NA,"F","不明","AMS法",326,18,NA,NA,NA,NA,NA,"小田寛貴 中村俊夫 三浦太一","名古屋大学年代測定総合研究センター・高エネルギー加速器研究機構",2007,"村松白根遺跡出土遺物の14C年代測定","581-584",NA,"茨城県教育財団文化財調査報告第284集　村松白根遺跡２　下巻","財団法人 茨城県教育財団","36゜27'00.86""","140゜35'15.90""",3863,TRUE,4570
31,"茨城","村松白根遺跡","那珂郡東海村村松白根","第2号製塩跡釜屋(SH2)","炭化材","T","f","中世",NA,"F","不明","AMS法",321,17,NA,NA,NA,NA,NA,"小田寛貴 中村俊夫 三浦太一","名古屋大学年代測定総合研究センター・高エネルギー加速器研究機構",2007,"村松白根遺跡出土遺物の14C年代測定","581-584",NA,"茨城県教育財団文化財調査報告第284集　村松白根遺跡２　下巻","財団法人 茨城県教育財団","36゜27'00.86""","140゜35'15.90""",3863,TRUE,4571
31,"茨城","村松白根遺跡","那珂郡東海村村松白根","第2号製塩跡釜屋(SH2)北側","炭化材","T","f","中世",NA,"F","不明","AMS法",387,19,NA,NA,NA,NA,NA,"小田寛貴 中村俊夫 三浦太一","名古屋大学年代測定総合研究センター・高エネルギー加速器研究機構",2007,"村松白根遺跡出土遺物の14C年代測定","581-584",NA,"茨城県教育財団文化財調査報告第284集　村松白根遺跡２　下巻","財団法人 茨城県教育財団","36゜27'00.86""","140゜35'15.90""",3863,TRUE,4572
31,"茨城","村松白根遺跡","那珂郡東海村村松白根","第37号建物跡　内耳土器　外面胴部","土器付着炭化物","O","q","中世",NA,"F","不明","AMS法",377,18,NA,NA,NA,NA,NA,"小田寛貴 中村俊夫 三浦太一","名古屋大学年代測定総合研究センター・高エネルギー加速器研究機構",2007,"村松白根遺跡出土遺物の14C年代測定","581-584",NA,"茨城県教育財団文化財調査報告第284集　村松白根遺跡２　下巻","財団法人 茨城県教育財団","36゜27'00.86""","140゜35'15.90""",3863,TRUE,4573
31,"茨城","村松白根遺跡","那珂郡東海村村松白根","第49号整地面　内耳土器　外面口縁部〜胴上半部","土器付着炭化物","O","q","中世",NA,"F","不明","AMS法",314,17,NA,NA,NA,NA,NA,"小田寛貴 中村俊夫 三浦太一","名古屋大学年代測定総合研究センター・高エネルギー加速器研究機構",2007,"村松白根遺跡出土遺物の14C年代測定","581-584",NA,"茨城県教育財団文化財調査報告第284集　村松白根遺跡２　下巻","財団法人 茨城県教育財団","36゜27'00.86""","140゜35'15.90""",3863,TRUE,4574
31,"茨城","馬渡埴輪製作遺跡","ひたちなか市太字馬渡","6号埴輪窯址","炭化丸木材(クヌギ・コナラ)","T","f","古墳時代後期","6世紀後半","D","不明","β線法",1500,115,NA,NA,NA,NA,NA,NA,"東京大学人類学教室　渡辺直経",1976,NA,"138",NA,"茨城県馬渡における埴輪製作址","明治大学","36゜23'47.08""","140゜32'05.64""",3871,TRUE,4590
31,"茨城","馬渡埴輪製作遺跡","ひたちなか市太字馬渡","不明","炭化丸木材(クヌギ・コナラ)","T","f","古墳時代後期","6世紀後半","D","不明","β線法",1460,100,NA,NA,NA,NA,NA,NA,"東京大学人類学教室　渡辺直経",1976,NA,"138",NA,"茨城県馬渡における埴輪製作址","明治大学","36゜23'47.08""","140゜32'05.64""",3871,TRUE,4591
31,"茨城","陸平貝塚","稲敷郡美浦村大字見山字貝売","第53号土坑","人骨","T","b","縄文時代後期",NA,"B","不明","AMS法",938,73,NA,NA,NA,NA,NA,"馬場悠男,米田穣,梶ヶ山真里","国立環境研究所加速器分析施設",2009,"陸平貝塚遺跡出土平安時代人骨","59-64",NA,"茨城県稲敷郡美浦村　陸平貝塚ー調査研究報告３・自然科学分野調査の成果ー","美浦村教育委員会","36゜00'59.15""","140゜20'01.46""",3870,TRUE,4612
31,"茨城","陸平貝塚","稲敷郡美浦村大字見山字貝売","第53号土坑","人骨","T","b","縄文時代後期",NA,"B","不明","AMS法",873,54,NA,NA,NA,NA,NA,"馬場悠男,米田穣,梶ヶ山真里","国立環境研究所加速器分析施設",2009,"陸平貝塚遺跡出土平安時代人骨","59-64",NA,"茨城県稲敷郡美浦村　陸平貝塚ー調査研究報告３・自然科学分野調査の成果ー","美浦村教育委員会","36゜00'59.15""","140゜20'01.46""",3870,TRUE,4613
31,"茨城","陸平貝塚","稲敷郡美浦村大字見山字貝売","第53号土坑","人骨","T","b","縄文時代後期",NA,"B","不明","AMS法",889,67,NA,NA,NA,NA,NA,"馬場悠男,米田穣,梶ヶ山真里","国立環境研究所加速器分析施設",2009,"陸平貝塚遺跡出土平安時代人骨","59-64",NA,"茨城県稲敷郡美浦村　陸平貝塚ー調査研究報告３・自然科学分野調査の成果ー","美浦村教育委員会","36゜00'59.15""","140゜20'01.46""",3870,TRUE,4614
31,"茨城","陸平貝塚","稲敷郡美浦村大字見山字貝売","第53号土坑","人骨","T","b","縄文時代後期",NA,"B","不明","AMS法",904,56,NA,NA,NA,NA,NA,"馬場悠男,米田穣,梶ヶ山真里","国立環境研究所加速器分析施設",2009,"陸平貝塚遺跡出土平安時代人骨","59-64",NA,"茨城県稲敷郡美浦村　陸平貝塚ー調査研究報告３・自然科学分野調査の成果ー","美浦村教育委員会","36゜00'59.15""","140゜20'01.46""",3870,TRUE,4615
32,"栃木","寺野東遺跡Ⅲ","小山市大字梁字愛宕","E4グリッド","クリ","T","d","縄文時代",NA,"B","不明","β線法",2540,80,NA,NA,NA,NA,NA,"江原英","学習院大学理学部年代測定室",2001,"理化学分析の概要","121-122","cal BC870(calBC800-755 :21.6％、calBC720-540:76.4%)","栃木県埋蔵文化財調査報告第250集　寺野東遺跡Ⅲ(縄紋時代　住居跡編−2)","栃木県教育委員会　財団法人とちぎ生涯学習文化財団","36゜19'19.81""","139゜53'12.34""",3071,TRUE,4690
32,"栃木","寺野東遺跡Ⅲ","小山市大字梁字愛宕","D4グリッド","トチノキ","T","d","縄文時代",NA,"B","不明","β線法",2730,100,NA,NA,NA,NA,NA,"江原英","学習院大学理学部年代測定室",2001,"理化学分析の概要","121-122","calBC890,calBC880,calBC840(calBC980-800:95.6%)","栃木県埋蔵文化財調査報告第250集　寺野東遺跡Ⅲ(縄紋時代　住居跡編−2)","栃木県教育委員会　財団法人とちぎ生涯学習文化財団","36゜19'19.81""","139゜53'12.34""",3071,TRUE,4691
32,"栃木","下都賀郡大平町西山田佐明地","下都賀郡大平町西山田佐明地","独木舟胴体外表面","独木舟(ニレ属)","T","d","縄文時代後期",NA,"B","不明","β線法",2980,110,NA,NA,NA,NA,NA,"前沢輝政","学習院大学理学部年代測定室",1984,"独木舟について　d．製作年代","20-22",NA,"独木舟-栃木県下都賀郡大平町西山田出土-","大平町教育委員会","36゜20'43.01""","139゜40'11.28""",3347,TRUE,4732
33,"群馬","女堀","前橋市","飯土井1区通水溝法面","丸太杭","T","d","中世初期",NA,"F","不明","β線法",830,60,805,55,NA,NA,NA,"原雅信","社団法人日本アイソトープ協会",1984,"C-14の年代測定結果","72",NA,"女堀","(財)群馬県埋蔵文化財調査事業団","36゜23'23.50""","139゜03'47.20""",1634,TRUE,4832
33,"群馬","女堀","前橋市","東大室5区小間割13底部へ至る法面　","杭","T","d","中世初期",NA,"F","不明","β線法",775,75,750,70,NA,NA,NA,"原雅信","社団法人日本アイソトープ協会",1984,"C-14の年代測定結果","72",NA,"女堀","(財)群馬県埋蔵文化財調査事業団","36゜23'23.50""","139゜03'47.20""",1634,TRUE,4833
33,"群馬","甘楽条里遺跡","甘楽郡甘楽町福島大山前","ⅩⅢ層最下層","泥炭","T","j","縄文時代",NA,"B","不明","不明",7750,60,NA,NA,NA,NA,NA,"能登健","不明",2000,"甘楽条里遺跡における耕地の拡張と継続","82-88",NA,"(財)群馬県埋蔵文化財調査事業団調査報告第263集　甘楽条里遺跡(大山前地区)　福島椿森遺跡","財団法人群馬県埋蔵文化財調査事業団","36゜15'28.91""","138゜55'28.70""",251,TRUE,4939
33,"群馬","新保町遺跡","高崎市新保町","溝状遺構底部　倒木片","木片","T","d","不明",NA,"A,B,C,D,E,F,G,H","不明","不明",2020,NA,NA,NA,NA,NA,NA,"高崎市教育委員会","古環境研究所 or パリノ・サーヴェイ",2006,"調査の概要","24",NA,"高崎市文化財調査報告書第201集　新保町遺跡","高崎市教育委員会","36゜21'07.42""","139゜02'29.15""",4675,TRUE,5031
34,"埼玉","伊奈氏屋敷跡","北足立郡伊奈町小室","I-1区(川側)　泥炭質堆積層断面　No.1","泥炭","T","j","不明",NA,"A,B,C,D,E,F,G,H","不明","β線法",1630,85,1590,80,NA,NA,NA,"パリノ・サーヴェイ","日本アイソトープ協会",1984,"伊奈氏屋敷遺跡14C年代測定","235",NA,"埼玉県埋蔵文化財調査事業団報告書第31集　赤羽･伊奈氏屋敷跡","財団法人　埼玉県埋蔵文化財調査事業団","35゜59'22.88""","139゜37'38.28""",1401,TRUE,5278
34,"埼玉","伊奈氏屋敷跡","北足立郡伊奈町小室","I-1区(川側)　泥炭質堆積層断面　No.3","泥炭","T","j","不明",NA,"A,B,C,D,E,F,G,H","不明","β線法",1760,55,1710,55,NA,NA,NA,"パリノ・サーヴェイ","日本アイソトープ協会",1984,"伊奈氏屋敷遺跡14C年代測定","235",NA,"埼玉県埋蔵文化財調査事業団報告書第31集　赤羽･伊奈氏屋敷跡","財団法人　埼玉県埋蔵文化財調査事業団","35゜59'22.88""","139゜37'38.28""",1401,TRUE,5279
34,"埼玉","伊奈氏屋敷跡","北足立郡伊奈町小室","I-1区(川側)　泥炭質堆積層断面　No.5","泥炭","T","j","不明",NA,"A,B,C,D,E,F,G,H","不明","β線法",1920,65,1860,60,NA,NA,NA,"パリノ・サーヴェイ","日本アイソトープ協会",1984,"伊奈氏屋敷遺跡14C年代測定","235",NA,"埼玉県埋蔵文化財調査事業団報告書第31集　赤羽･伊奈氏屋敷跡","財団法人　埼玉県埋蔵文化財調査事業団","35゜59'22.88""","139゜37'38.28""",1401,TRUE,5280
