Period,PeriodEN
10世紀初頭以前,NA
10世紀前半より前,NA
10世紀前葉以前,NA
10世紀後半以降,NA
12世紀〜近現代,NA
18世紀後半〜19世紀前半,NA
9世紀後半,NA
Ag-KP降下以前,NA
As-BPGroup同位,NA
As-BP上位,NA
As-B降下以前,NA
As-Kn(約5400年前)上位,NA
As-YP下位,NA
ATより上位,NA
AT下位,NA
AT以降,NA
B-Tm･To-a自然堆積,NA
B-tmテフラ,NA
B-Tm降下前,NA
To-a,NA
To-a上層,NA
To-a火山灰,NA
To-a火山灰(950年前後)に覆われる,NA
To-a火山灰より上層,NA
To-a火山灰より下層,NA
To-a火山灰以前,NA
To-a火山灰以降,NA
To-a火山灰又はB-Tm火山灰層上面,NA
To-a火山灰降下以前,NA
To-a火山灰降下以後,NA
To-b火山灰,NA
To-Cu火山灰,NA
To-cu火山灰下層,NA
To-Of火山灰,NA
オホーツク文化期,NA
不明,NA
不明(弥生後期?),NA
中〜近世,NA
中･近世,NA
中世,NA
中世　天正期,NA
中世〜戦国時代,NA
中世〜近世,NA
中世〜近世?,NA
中世〜近世初期,NA
中世〜近世初頭,NA
中世〜近世頃,NA
中世･近世,NA
中世?,NA
中世？,NA
中世?平安時代?,NA
中世(14〜15世紀),NA
中世(縄文時代晩期以降),NA
中世または平安時代,NA
中世以前,NA
中世以降,NA
中世以降近世,NA
中世初期,NA
中世初頭,NA
中世前半,NA
中世前半中頃(鎌倉時代中頃),NA
中世前半以降,NA
中世前期,NA
中世後半,NA
中世後半〜近世,NA
中世後期,NA
中世後期〜近世初頭,NA
中世後期〜近代,NA
中世末,NA
中世末〜江戸初期,NA
中世末〜近世初期,NA
中世末〜近代,NA
中世末期〜近世,NA
中世末期〜近世初頭,NA
中世末頃,NA
中世頃,NA
中近世,NA
八戸火山灰,NA
八戸火山灰直下の砂丘堆積層下,NA
最終氷期,NA
十和田a火山灰降下以前,NA
南北朝･室町時代以降,NA
南部浮石層,NA
南部浮石混入,NA
古代,NA
古代〜中世,NA
古代〜中世初頭,NA
古代〜中近世,NA
古代〜江戸時代頃,NA
古代〜近世,NA
古代･中世,NA
古代?,NA
古代？,NA
古代(飛鳥〜奈良),NA
古代あるいは中世,NA
古代から中世,NA
古代または中世,NA
古代もしくは12世紀,NA
古代以前,NA
古代以降,NA
古代前半期,NA
古代末〜中世,NA
古代末〜中世初頭,NA
古代末〜中世前半頃,NA
古代末〜中世頃,NA
古代末期〜中世,NA
古墳〜奈良･平安時代,NA
古墳〜奈良時代,NA
古墳〜平安,NA
古墳時代,NA
古墳時代〜中世,NA
古墳時代〜古代,NA
古墳時代〜奈良･平安時代,NA
古墳時代〜平安時代,NA
古墳時代〜飛鳥時代,NA
古墳時代?,NA
古墳時代or中世,NA
古墳時代あるいは中〜近世,NA
古墳時代あるいは古代,NA
古墳時代から古代,NA
古墳時代または中世,NA
古墳時代中〜後期,NA
古墳時代中期,NA
古墳時代中期〜7世紀頃,NA
古墳時代中期〜古墳時代後期,NA
古墳時代中期〜後期,NA
古墳時代中期～後期,NA
古墳時代中期中葉,NA
古墳時代中期以前,NA
古墳時代中期前葉,NA
古墳時代中期後半,NA
古墳時代中期後半〜後期前半ごろ,NA
古墳時代中期後葉,NA
古墳時代中期末,NA
古墳時代中期頃,NA
古墳時代中葉,NA
古墳時代以前,NA
古墳時代以降,NA
古墳時代初頭,NA
古墳時代初頭〜前期,NA
古墳時代初頭〜前期前半,NA
古墳時代前半,NA
古墳時代前期,NA
古墳時代前期〜中期,NA
古墳時代前期〜古代･中世,NA
古墳時代前期〜平安時代,NA
古墳時代前期〜後期,NA
古墳時代前期〜終末期,NA
古墳時代前期から奈良･平安時代,NA
古墳時代前期まで,NA
古墳時代前期中葉,NA
古墳時代前期以前,NA
古墳時代前期以降,NA
古墳時代前期初頭,NA
古墳時代前期前葉,NA
古墳時代前期後半,NA
古墳時代前期後半〜中期前半,NA
古墳時代前期末,NA
古墳時代前期末〜中期中葉,NA
古墳時代前期頃,NA
古墳時代後半〜古代,NA
古墳時代後期,NA
古墳時代後期〜奈良･平安時代,NA
古墳時代後期〜奈良時代,NA
古墳時代後期〜平安時代,NA
古墳時代後期〜平安時代前期,NA
古墳時代後期〜近世,NA
古墳時代後期〜飛鳥時代初頭,NA
古墳時代後期〜飛鳥時代前半,NA
古墳時代後期か縄文時代後期,NA
古墳時代後期まで,NA
古墳時代後期並行期,NA
古墳時代後期中葉,NA
古墳時代後期以降,NA
古墳時代後期前葉,NA
古墳時代後期後半以降奈良時代以前,NA
古墳時代後期後葉,NA
古墳時代後期末葉,NA
古墳時代後期頃,NA
古墳時代早･前期,NA
古墳時代末〜平安時代,NA
古墳時代末〜飛鳥時代,NA
古墳時代末から奈良時代頃,NA
古墳時代終末期,NA
古墳時代終末期〜古代,NA
古寛永以降,NA
国分期,NA
土師器出土,NA
土師時代,NA
土師時代前期,NA
大正時代,NA
天明3年埋没,NA
奈良〜平安時代,NA
奈良・平安時代,NA
奈良･平安時代,NA
奈良･平安時代〜中世,NA
奈良･平安時代または中世,NA
奈良･平安時代以降,NA
奈良時代,NA
奈良時代〜平安時代,NA
奈良時代〜平安時代(初頭),NA
奈良時代〜平安時代初頭,NA
奈良時代･平安時代,NA
奈良時代から平安時代,NA
奈良時代または平安時代,NA
奈良時代中葉頃,NA
奈良時代中頃,NA
奈良時代以前,NA
奈良時代以降,NA
奈良時代初頭,NA
奈良時代前半,NA
奈良時代前後,NA
奈良時代前期,NA
奈良時代後半,NA
奈良時代後半〜平安時代初頭,NA
奈良時代後半〜平安時代前半,NA
奈良時代後期〜平安時代初期,NA
奈良時代後期〜平安時代前期,NA
奈良時代末〜平安時代,NA
奈良時代末〜平安時代はじめ,NA
奈良時代末〜平安時代初頭,NA
奈良時代末〜平安時代前半頃,NA
奈良時代末〜平安時代前期,NA
奈良時代末期〜平安時代初期以降,NA
室町時代,NA
室町時代〜戦国時代,NA
室町時代〜桃山時代,NA
室町時代?,NA
室町時代中頃,NA
室町時代中頃〜江戸時代初頭,NA
室町時代初め〜戦国時代,NA
室町時代前半,NA
室町時代後半〜安土･桃山,NA
室町時代後半〜江戸時代初頭,NA
室町時代後期〜桃山時代,NA
室町時代後期〜江戸時代初頭,NA
"富士黒土層(10,000年前以降)",NA
平安〜中世,NA
平安〜近世,NA
平安時代,NA
平安時代〜中世,NA
平安時代〜近世,NA
平安時代〜鎌倉時代,NA
平安時代?,NA
平安時代～鎌倉時代,NA
平安時代or中近世,NA
平安時代or近世以降,NA
平安時代または戦国時代,NA
平安時代を含む,NA
平安時代中期,NA
平安時代中葉,NA
平安時代中頃,NA
平安時代中頃から後半,NA
平安時代以前,NA
平安時代以後,NA
平安時代以降,NA
平安時代初期,NA
平安時代初頭,NA
平安時代初頭〜前半,NA
平安時代前半,NA
平安時代前後,NA
平安時代前期,NA
平安時代前期以降,NA
平安時代前期前半頃,NA
平安時代半ば,NA
平安時代後半,NA
平安時代後期,NA
平安時代後期後半,NA
平安時代後期後半〜鎌倉時代初頭,NA
平安時代末,NA
平安時代末〜中世,NA
平安時代末〜戦国時代,NA
平安時代末〜沖積,NA
平安時代末〜鎌倉時代,NA
平安時代末〜鎌倉時代初頭,NA
平安時代末葉,NA
平安時代末頃,NA
弥生･古墳時代〜古代,NA
弥生時代,NA
弥生時代〜中世,NA
弥生時代〜古代,NA
弥生時代〜古墳時代,NA
弥生時代〜古墳時代前期,NA
弥生時代〜平安時代,NA
弥生時代、古代、近世,NA
弥生時代?,NA
弥生時代Ⅱ末〜Ⅲ初,NA
弥生時代Ⅰ期中段階,NA
弥生時代or中世,NA
弥生時代あるいは古代,NA
弥生時代並行期〜中世,NA
弥生時代中期,NA
弥生時代中期〜古墳時代初頭,NA
弥生時代中期〜後期,NA
弥生時代中期〜後期後半,NA
弥生時代中期?,NA
弥生時代中期？,NA
弥生時代中期～後期,NA
弥生時代中期～後期初頭,NA
弥生時代中期～後期前葉,NA
弥生時代中期～後期相当期,NA
弥生時代中期中葉,NA
弥生時代中期中葉〜奈良･平安時代,NA
弥生時代中期中葉〜後半,NA
弥生時代中期中葉〜後葉,NA
弥生時代中期中葉以前縄文時代晩期以降,NA
弥生時代中期中頃,NA
弥生時代中期以前,NA
弥生時代中期以降,NA
弥生時代中期初頭,NA
弥生時代中期初頭〜前葉,NA
弥生時代中期前半,NA
弥生時代中期前半〜後期前半,NA
弥生時代中期前半頃,NA
弥生時代中期前葉,NA
弥生時代中期後半,NA
弥生時代中期後半〜後期,NA
弥生時代中期後半〜後期初頭,NA
弥生時代中期後半〜後期前半,NA
弥生時代中期後半〜末,NA
弥生時代中期後葉,NA
弥生時代中期後葉〜古墳時代前期,NA
弥生時代中期後葉〜後期,NA
弥生時代中期後葉〜後期初頭,NA
弥生時代中期後葉以降,NA
弥生時代中期後葉末,NA
弥生時代中期末,NA
弥生時代中期末〜後期初頭,NA
弥生時代中期頃,NA
弥生時代以前,NA
弥生時代以降,NA
弥生時代初期,NA
弥生時代初頭,NA
弥生時代前半,NA
弥生時代前期,NA
弥生時代前期〜中期,NA
